CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase,UnitSales,OnPromotion
10074,39,10,728.53,72.85,0.3,21,1,196.35,0
10075,46,7,651.29,93.04,0.17,11,0,150.71,0
10076,1,5,180.51,36.1,0.38,10,1,76.3,1
10077,57,5,588.09,117.62,0.46,10,0,119.94,0
10078,38,6,250.05,41.68,0.55,8,1,105.04,0
10079,35,5,367.79,73.56,0.15,20,0,105.95,1
10080,8,4,333.95,83.49,0.25,21,1,90.46,1
10081,25,4,428.39,107.1,0.36,16,0,95.39,0
10082,128,5,342.16,68.43,0.15,21,0,96.06,1
10083,9,6,327.5,54.58,0.16,10,0,101.66,0
10084,49,6,326.39,54.4,0.13,14,0,108.35,0
10085,4,3,77.83,25.94,0.12,11,0,44.64,0
10086,36,9,891.56,99.06,0.64,12,1,208.2,0
10087,5,5,586.07,117.21,0.31,15,1,124.15,1
10088,11,4,83.32,20.83,0.08,9,0,62.49,0
10089,111,5,576.84,115.37,0.09,8,0,120.66,0
10090,107,3,256.97,85.66,0.74,16,0,69.51,1
10091,5,8,451.98,56.5,0.32,15,1,149.15,0
10092,93,8,595.64,74.46,0.1,11,0,160.89,0
10093,58,9,426.91,47.43,0.18,12,0,160.65,0
10094,99,4,460.1,115.02,0.05,20,0,95.35,0
10095,14,6,249.0,41.5,0.26,19,1,102.65,0
10096,8,6,606.23,101.04,0.69,9,1,142.34,0
10097,132,2,116.31,58.16,0.35,13,0,47.96,0
10098,19,9,420.41,46.71,0.32,14,1,164.36,0
10099,158,3,309.64,103.21,0.14,21,0,72.82,1
10100,65,9,834.25,92.69,0.15,8,0,199.73,0
10101,20,5,153.57,30.71,0.23,14,1,83.89,0
10102,30,7,472.15,67.45,0.24,21,1,128.16,1
10103,23,9,175.79,19.53,0.1,10,1,130.9,1
10104,14,8,515.72,64.46,0.47,16,1,147.9,1
10105,47,8,864.24,108.03,0.26,8,1,199.73,0
10106,78,6,543.76,90.63,0.34,21,0,121.02,0
10107,69,8,933.04,116.63,0.53,10,0,188.54,0
10108,31,8,775.12,96.89,0.42,13,1,180.44,0
10109,27,7,724.53,103.5,0.25,8,1,157.91,0
10110,8,5,460.84,92.17,0.21,16,1,111.69,0
10111,32,4,381.23,95.31,0.2,17,0,94.05,0
10112,28,6,213.44,35.57,0.33,15,0,93.78,1
10113,36,11,198.91,18.08,0.44,13,1,157.98,1
10114,6,7,774.13,110.59,0.24,14,1,170.09,0
10115,18,4,200.36,50.09,0.38,20,1,78.68,0
10116,91,3,199.65,66.55,0.51,11,0,55.5,0
10117,10,5,562.72,112.54,0.14,10,1,115.79,1
10118,21,5,474.06,94.81,0.14,8,1,104.35,0
10119,20,4,342.39,85.6,0.05,20,1,89.34,0
10120,77,10,383.04,38.3,0.53,20,0,163.37,0
10121,63,8,830.49,103.81,0.29,18,0,181.19,0
10122,12,5,256.02,51.2,0.3,13,0,96.23,0
10123,40,4,306.9,76.72,0.21,19,1,69.47,0
10124,34,7,216.98,31.0,0.15,17,0,108.34,0
10125,89,10,761.02,76.1,0.15,13,0,204.17,0
10126,26,6,675.23,112.54,0.27,21,1,136.95,0
10127,45,4,260.19,65.05,0.26,13,1,77.31,0
10128,14,8,671.18,83.9,0.35,15,1,169.59,1
10129,33,2,139.18,69.59,0.37,8,0,39.36,1
10130,11,6,361.7,60.28,0.72,10,1,113.66,0
10131,51,9,1073.68,119.3,0.14,11,1,227.13,0
10132,51,5,426.25,85.25,0.35,13,1,99.06,0
10133,22,4,460.95,115.24,0.6,17,1,94.01,0
10134,58,6,533.22,88.87,0.12,10,0,134.35,0
10135,9,5,187.83,37.57,0.31,16,0,77.48,0
10136,21,6,116.13,19.36,0.18,10,0,96.33,0
10137,41,5,386.25,77.25,0.39,20,0,95.81,0
10138,6,9,458.46,50.94,0.07,11,1,159.32,0
10139,34,3,355.28,118.43,0.75,8,1,74.78,0
10140,48,6,708.69,118.12,0.07,20,1,149.64,0
10141,8,9,763.13,84.79,0.41,17,1,188.19,0
10142,22,3,348.47,116.16,0.05,16,1,82.09,0
10143,36,6,373.21,62.2,0.4,10,1,114.85,0
10144,70,5,480.08,96.02,0.38,21,0,112.32,0
10145,38,5,446.16,89.23,0.18,14,0,97.79,0
10146,8,3,318.51,106.17,0.45,19,1,78.12,1
10147,3,9,1047.4,116.38,0.43,14,1,214.54,1
10148,52,5,324.64,64.93,0.32,12,0,92.08,0
10149,25,6,671.81,111.97,0.18,20,1,145.76,0
10150,33,3,261.11,87.04,0.33,21,0,69.29,1
10151,14,7,415.2,59.31,0.17,18,1,127.68,0
10152,14,7,248.83,35.55,0.16,20,0,116.22,0
10153,45,4,439.01,109.75,0.14,19,1,94.68,1
10154,3,4,295.98,74.0,0.1,10,1,77.17,0
10155,15,7,497.34,71.05,0.05,10,1,137.93,0
10156,46,6,590.79,98.46,0.3,14,0,135.04,0
10157,31,8,266.82,33.35,0.18,18,0,119.59,0
10158,5,3,167.14,55.71,0.19,9,1,48.66,1
10159,3,11,385.13,35.01,0.31,14,1,179.87,0
10160,14,7,590.92,84.42,0.1,10,1,160.15,1
10161,12,3,354.52,118.17,0.18,21,1,71.46,0
10162,29,7,668.61,95.52,0.31,9,1,155.9,0
10163,58,5,446.13,89.23,0.27,14,0,105.51,1
10164,37,6,405.62,67.6,0.24,12,1,123.11,1
10165,67,6,231.9,38.65,0.18,19,1,99.52,1
10166,7,2,121.58,60.79,0.18,19,0,39.3,0
10167,51,3,227.95,75.98,0.07,14,0,67.82,0
10168,15,8,749.85,93.73,0.42,14,1,169.71,0
10169,5,8,295.93,36.99,0.32,16,1,131.13,1
10170,8,8,252.73,31.59,0.27,20,1,122.57,0
10171,18,7,451.44,64.49,0.11,10,1,129.55,1
10172,53,11,654.73,59.52,0.52,12,0,199.12,0
10173,50,6,601.59,100.26,0.29,9,1,135.38,0
10174,7,3,186.78,62.26,0.1,17,1,54.79,1
10175,75,7,836.31,119.47,0.52,17,0,170.55,1
10176,1,7,497.1,71.01,0.35,13,1,139.16,0
10177,13,4,262.92,65.73,0.31,10,1,68.4,0
10178,65,2,175.82,87.91,0.13,16,0,38.06,0
10179,68,6,502.66,83.78,0.5,16,0,132.49,1
10180,165,5,439.59,87.92,0.1,12,0,110.54,0
10181,10,3,102.74,34.25,0.15,10,1,48.61,0
10182,26,9,507.58,56.4,0.45,11,1,155.58,1
10183,56,5,323.22,64.64,0.44,12,0,99.98,1
10184,4,6,250.62,41.77,0.37,18,0,106.08,0
10185,28,5,84.56,16.91,0.31,12,0,82.69,0
10186,20,7,564.75,80.68,0.15,8,1,144.34,0
10187,14,9,1070.27,118.92,0.16,11,1,218.85,0
10188,85,9,636.85,70.76,0.45,13,0,188.25,0
10189,1,1,85.93,85.93,0.2,17,0,24.91,0
10190,11,9,989.0,109.89,0.22,9,1,211.65,0
10191,31,6,274.04,45.67,0.17,11,1,98.02,0
10192,49,7,353.96,50.57,0.18,14,0,117.1,0
10193,4,4,406.21,101.55,0.15,21,0,83.45,0
10194,11,5,514.24,102.85,0.28,15,1,116.94,0
10195,46,3,335.31,111.77,0.4,14,0,75.65,1
10196,117,10,918.15,91.82,0.61,15,0,219.22,0
10197,6,6,145.42,24.24,0.31,19,0,86.98,0
10198,66,7,468.32,66.9,0.46,9,0,135.03,1
10199,26,3,81.08,27.03,0.17,10,0,50.33,0
10200,24,5,173.23,34.65,0.18,8,1,79.07,0
10201,72,5,190.25,38.05,0.19,13,0,81.48,1
10202,79,4,300.07,75.02,0.36,17,0,76.99,0
10203,69,5,87.99,17.6,0.57,18,0,64.88,0
10204,17,7,755.89,107.98,0.26,19,1,159.01,1
10205,20,5,302.55,60.51,0.17,16,0,94.24,0
10206,9,6,319.56,53.26,0.22,14,1,105.57,0
10207,33,1,32.59,32.59,0.71,14,0,12.22,0
10208,4,10,416.98,41.7,0.49,15,1,168.76,0
10209,27,9,991.26,110.14,0.05,21,1,204.52,1
10210,43,6,489.59,81.6,0.69,15,0,121.82,0
10211,27,4,80.91,20.23,0.5,18,0,61.82,0
10212,2,6,210.57,35.1,0.31,14,1,90.64,0
10213,71,10,421.5,42.15,0.36,19,1,162.62,0
10214,62,5,380.16,76.03,0.18,10,0,101.82,0
10215,12,10,1078.46,107.85,0.37,9,1,236.19,1
10216,41,1,54.94,54.94,0.4,8,0,10.2,0
10217,18,7,766.42,109.49,0.24,11,0,167.81,0
10218,8,3,256.71,85.57,0.69,17,1,55.05,0
10219,10,10,573.31,57.33,0.16,9,1,184.43,1
10220,4,4,477.63,119.41,0.43,18,0,97.51,1
10221,23,13,1068.89,82.22,0.28,20,1,263.08,0
10222,70,5,279.16,55.83,0.73,8,0,83.11,0
10223,74,5,141.33,28.27,0.18,10,0,86.52,0
10224,4,8,831.95,103.99,0.31,20,1,180.79,0
10225,42,5,106.45,21.29,0.16,15,0,63.61,0
10226,18,8,822.43,102.8,0.22,15,1,177.94,0
10227,8,6,134.27,22.38,0.28,11,0,78.52,0
10228,74,6,213.97,35.66,0.1,18,0,95.94,0
10229,14,5,266.3,53.26,0.29,15,1,86.02,0
10230,29,9,263.83,29.31,0.51,14,1,136.79,0
10231,7,7,386.18,55.17,0.26,18,1,134.25,0
10232,9,4,157.58,39.4,0.52,15,0,61.24,1
10233,22,7,109.42,15.63,0.5,17,1,101.48,1
10234,3,7,300.45,42.92,0.07,10,0,113.64,0
10235,3,5,298.92,59.78,0.43,19,0,82.25,0
10236,11,1,58.7,58.7,0.41,17,1,12.76,0
10237,18,6,268.8,44.8,0.45,19,1,90.62,0
10238,21,4,396.21,99.05,0.21,18,0,97.86,0
10239,31,5,446.42,89.28,0.25,21,0,108.74,0
10240,3,6,331.51,55.25,0.36,21,1,104.46,1
10241,3,12,214.35,17.86,0.23,8,1,172.25,0
10242,52,5,331.37,66.27,0.45,11,0,93.82,0
10243,8,9,695.82,77.31,0.28,14,1,182.49,1
10244,1,6,515.41,85.9,0.51,18,1,123.55,0
10245,4,6,530.04,88.34,0.16,19,1,125.37,0
10246,18,4,281.62,70.4,0.34,18,1,84.38,0
10247,112,6,299.12,49.85,0.29,19,0,105.14,1
10248,146,5,249.35,49.87,0.56,19,0,92.44,0
10249,9,11,345.92,31.45,0.24,14,1,163.4,0
10250,2,6,552.04,92.01,0.17,18,1,124.44,1
10251,3,5,110.44,22.09,0.37,17,1,76.91,1
10252,58,4,217.5,54.38,0.41,14,0,70.17,1
10253,22,6,666.34,111.06,0.08,13,0,130.61,1
10254,40,2,197.34,98.67,0.29,16,0,48.25,0
10255,22,7,125.35,17.91,0.59,19,0,96.95,0
10256,9,5,553.55,110.71,0.23,17,1,116.61,0
10257,11,4,269.27,67.32,0.25,17,0,72.89,0
10258,16,8,185.44,23.18,0.35,11,1,110.68,0
10259,8,3,121.82,40.61,0.22,12,1,41.83,0
10260,2,8,238.93,29.87,0.41,19,1,122.54,0
10261,10,3,292.73,97.58,0.14,9,1,63.73,0
10262,8,8,479.34,59.92,0.32,12,1,149.52,0
10263,26,7,611.4,87.34,0.12,10,0,144.48,0
10264,37,6,353.3,58.88,0.41,12,1,116.84,0
10265,21,5,362.08,72.42,0.29,20,0,102.15,0
10266,26,8,588.58,73.57,0.42,10,1,149.54,1
10267,60,5,399.23,79.85,0.71,20,0,98.83,1
10268,4,5,307.29,61.46,0.24,13,1,96.89,0
10269,17,4,358.45,89.61,0.53,12,1,87.44,0
10270,89,5,523.33,104.67,0.25,10,0,115.55,0
10271,14,7,373.67,53.38,0.21,12,0,124.03,0
10272,71,6,535.71,89.29,0.23,10,0,134.93,0
10273,17,5,497.45,99.49,0.19,16,0,108.17,0
10274,22,3,301.95,100.65,0.24,19,0,70.96,0
10275,36,4,293.75,73.44,0.35,14,0,90.52,1
10276,23,2,206.11,103.06,0.09,14,0,45.97,0
10277,35,9,603.55,67.06,0.3,20,1,170.76,0
10278,49,7,270.69,38.67,0.48,21,0,132.94,0
10279,19,10,778.32,77.83,0.25,18,1,208.19,0
10280,21,5,240.38,48.08,0.54,17,1,96.63,1
10281,58,1,75.93,75.93,0.23,8,0,31.97,1
10282,22,7,176.19,25.17,0.59,18,0,102.43,0
10283,23,7,156.19,22.31,0.05,15,0,105.2,0
10284,84,6,178.95,29.82,0.18,17,0,92.71,0
10285,3,2,66.9,33.45,0.1,10,0,26.04,0
10286,86,5,308.38,61.68,0.17,18,0,89.81,0
10287,32,5,154.42,30.88,0.21,11,0,87.2,0
10288,6,3,170.87,56.96,0.44,13,0,55.72,0
10289,45,5,441.12,88.22,0.61,19,0,116.28,0
10290,5,7,517.4,73.91,0.48,20,1,136.42,0
10291,12,8,781.41,97.68,0.18,16,1,179.25,0
10292,27,6,309.33,51.56,0.11,19,0,106.4,0
10293,2,3,219.58,73.19,0.34,19,1,51.44,0
10294,26,10,714.05,71.4,0.4,21,1,200.39,0
10295,85,4,162.23,40.56,0.39,15,0,61.5,0
10296,33,5,236.87,47.37,0.31,15,1,86.94,0
10297,4,7,126.09,18.01,0.09,12,1,101.59,0
10298,3,4,270.84,67.71,0.29,21,1,67.49,1
10299,14,6,349.72,58.29,0.05,13,1,101.38,0
10300,13,6,508.94,84.82,0.14,15,1,125.7,1
10301,5,4,230.56,57.64,0.11,16,1,70.26,0
10302,1,9,563.29,62.59,0.21,17,1,164.91,0
10303,1,5,403.37,80.67,0.05,10,1,98.07,0
10304,3,4,176.59,44.15,0.3,16,1,68.1,0
10305,66,7,816.08,116.58,0.39,8,0,156.1,0
10306,44,5,576.77,115.35,0.2,15,1,121.94,1
10307,5,10,464.85,46.48,0.25,15,1,173.24,0
10308,52,9,576.81,64.09,0.48,11,0,176.14,0
10309,11,10,402.28,40.23,0.55,9,1,158.82,1
10310,5,3,319.4,106.47,0.23,15,1,66.49,1
10311,46,6,524.46,87.41,0.57,14,0,134.42,1
10312,31,5,557.77,111.55,0.25,16,0,114.83,0
10313,104,2,226.27,113.14,0.11,8,0,49.69,1
10314,19,3,264.82,88.27,0.13,14,1,61.01,0
10315,9,8,318.94,39.87,0.46,11,1,136.16,0
10316,61,3,340.13,113.38,0.4,15,0,69.57,0
10317,63,5,289.56,57.91,0.3,14,0,92.61,0
10318,2,8,480.8,60.1,0.32,8,1,145.35,1
10319,90,9,545.98,60.66,0.09,14,0,161.1,1
10320,2,8,122.98,15.37,0.22,9,1,110.17,0
10321,10,10,310.42,31.04,0.14,8,1,153.53,1
10322,17,4,150.42,37.6,0.72,15,0,66.67,0
10323,68,7,635.87,90.84,0.67,12,1,154.44,0
10324,5,8,290.95,36.37,0.11,13,1,126.93,0
10325,22,6,179.43,29.9,0.09,10,0,93.46,0
10326,31,5,394.77,78.95,0.29,8,0,104.63,0
10327,41,11,477.23,43.38,0.38,21,0,191.73,0
10328,31,5,224.15,44.83,0.22,13,0,73.58,0
10329,39,4,262.15,65.54,0.41,10,0,68.93,1
10330,35,8,571.17,71.4,0.33,19,0,152.33,0
10331,70,7,534.66,76.38,0.39,19,0,146.69,1
10332,13,6,299.83,49.97,0.4,12,1,101.46,0
10333,24,5,186.59,37.32,0.19,13,1,79.8,1
10334,11,7,470.02,67.15,0.23,9,1,131.76,0
10335,21,3,201.94,67.31,0.2,13,1,58.92,0
10336,83,4,254.6,63.65,0.27,14,0,71.48,1
10337,2,8,710.9,88.86,0.56,19,1,171.93,0
10338,46,7,614.58,87.8,0.16,8,0,143.9,1
10339,2,8,266.95,33.37,0.29,8,1,123.72,0
10340,17,7,433.06,61.87,0.57,11,1,124.2,1
10341,2,4,110.33,27.58,0.14,15,1,62.65,0
10342,40,6,229.22,38.2,0.16,14,0,92.75,0
10343,5,8,749.18,93.65,0.11,8,1,173.03,1
10344,74,7,813.93,116.28,0.35,21,1,166.79,0
10345,1,5,140.74,28.15,0.18,14,1,74.61,0
10346,57,10,279.89,27.99,0.27,10,1,156.06,0
10347,30,6,401.4,66.9,0.1,9,0,109.55,0
10348,19,7,641.56,91.65,0.29,11,1,146.78,0
10349,3,5,153.35,30.67,0.35,16,1,88.76,0
10350,39,4,261.39,65.35,0.2,15,1,81.44,0
10351,27,6,538.62,89.77,0.38,18,1,122.5,0
10352,131,3,139.65,46.55,0.25,8,0,43.27,1
10353,36,6,246.01,41.0,0.3,14,0,95.78,0
10354,16,7,275.17,39.31,0.41,15,1,110.65,1
10355,14,4,84.14,21.04,0.29,21,0,61.87,1
10356,62,2,167.93,83.96,0.27,8,0,32.84,0
10357,11,3,206.76,68.92,0.42,16,1,59.34,1
10358,15,5,537.86,107.57,0.29,13,1,124.47,0
10359,4,8,597.22,74.65,0.44,19,1,164.59,0
10360,50,4,357.97,89.49,0.27,13,0,87.51,0
10361,46,10,406.74,40.67,0.06,12,0,167.17,0
10362,35,6,218.61,36.44,0.07,10,1,96.55,1
10363,35,6,329.09,54.85,0.48,18,1,104.04,0
10364,16,5,171.66,34.33,0.69,16,0,83.49,1
10365,24,6,120.33,20.06,0.14,8,1,85.58,1
10366,38,2,139.59,69.8,0.25,16,0,42.82,0
10367,2,4,308.82,77.2,0.18,21,1,85.64,0
10368,19,10,340.54,34.05,0.23,10,1,150.23,1
10369,23,2,100.61,50.3,0.31,20,0,35.8,1
10370,64,5,142.72,28.54,0.36,16,0,75.41,0
10371,15,3,308.52,102.84,0.25,13,1,72.06,0
10372,71,2,188.15,94.08,0.1,10,0,43.03,0
10373,167,8,462.25,57.78,0.21,11,0,146.58,0
10374,224,4,124.79,31.2,0.11,19,0,63.47,0
10375,47,8,657.46,82.18,0.09,16,0,172.0,0
10376,70,6,277.2,46.2,0.21,11,0,101.15,0
10377,67,7,554.47,79.21,0.47,20,0,141.66,0
10378,20,6,684.54,114.09,0.37,16,1,151.42,0
10379,10,5,350.84,70.17,0.21,16,0,90.91,1
10380,25,8,414.83,51.85,0.09,13,0,146.3,0
10381,72,8,790.74,98.84,0.21,13,0,176.1,0
10382,20,7,324.19,46.31,0.39,11,1,125.12,1
10383,21,2,80.31,40.16,0.44,16,1,34.94,0
10384,65,7,752.59,107.51,0.19,10,1,167.08,0
10385,35,2,144.23,72.11,0.26,12,0,48.93,0
10386,5,5,325.34,65.07,0.51,16,1,101.8,0
10387,20,4,267.73,66.93,0.38,20,0,73.02,0
10388,1,6,474.58,79.1,0.25,21,1,122.05,0
10389,19,4,77.55,19.39,0.23,21,0,61.55,0
10390,86,6,414.49,69.08,0.1,14,0,120.69,0
10391,47,7,531.52,75.93,0.25,19,1,139.93,0
10392,12,7,706.77,100.97,0.23,16,1,154.72,0
10393,56,6,506.44,84.41,0.4,9,0,126.75,0
10394,33,4,428.48,107.12,0.12,16,0,87.92,0
10395,21,5,390.79,78.16,0.39,19,1,98.09,0
10396,52,11,826.0,75.09,0.15,13,1,220.31,0
10397,20,6,385.81,64.3,0.1,20,1,119.93,0
10398,24,5,522.37,104.47,0.19,19,0,107.79,1
10399,1,7,459.33,65.62,0.55,12,1,129.65,0
10400,19,6,588.34,98.06,0.2,8,1,131.03,0
10401,2,2,61.45,30.72,0.45,19,0,30.08,0
10402,20,2,145.98,72.99,0.52,15,0,43.48,1
10403,19,4,213.57,53.39,0.3,17,1,65.63,0
10404,39,3,188.08,62.69,0.29,11,0,59.5,1
10405,94,6,539.29,89.88,0.1,10,0,124.73,0
10406,16,6,93.17,15.53,0.32,12,1,87.66,0
10407,7,7,488.04,69.72,0.12,13,1,134.56,0
10408,36,9,892.66,99.18,0.16,16,1,205.21,0
10409,16,7,259.5,37.07,0.51,19,1,116.25,0
10410,9,7,525.86,75.12,0.05,13,1,128.94,0
10411,19,7,835.95,119.42,0.41,17,1,162.08,0
10412,39,5,320.21,64.04,0.22,16,0,93.08,0
10413,7,6,684.48,114.08,0.16,20,1,143.84,0
10414,44,4,194.94,48.74,0.14,11,0,64.67,1
10415,64,6,372.48,62.08,0.12,10,0,110.39,0
10416,12,6,519.15,86.52,0.13,10,1,134.22,0
10417,88,4,429.51,107.38,0.48,12,0,102.68,0
10418,30,10,561.35,56.14,0.21,16,1,181.05,0
10419,10,6,672.01,112.0,0.18,13,1,140.19,1
10420,14,2,61.11,30.56,0.18,18,1,32.58,0
10421,9,3,182.68,60.89,0.32,21,1,55.77,0
10422,24,6,582.52,97.09,0.06,11,1,126.97,1
10423,54,7,220.32,31.47,0.28,9,0,102.37,1
10424,33,9,173.46,19.27,0.28,12,1,142.79,1
10425,2,9,949.75,105.53,0.18,19,1,205.74,0
10426,30,4,169.9,42.48,0.21,21,0,65.97,0
10427,43,8,456.26,57.03,0.33,9,1,139.07,0
10428,6,3,233.93,77.98,0.06,17,0,61.16,1
10429,2,3,66.71,22.24,0.05,10,0,44.57,0
10430,12,4,268.82,67.2,0.47,19,1,80.5,0
10431,20,5,555.18,111.04,0.15,21,1,113.27,0
10432,57,8,682.47,85.31,0.3,21,0,163.53,0
10433,25,6,111.48,18.58,0.53,11,1,88.38,0
10434,7,7,133.95,19.14,0.27,19,1,101.72,0
10435,39,6,496.31,82.72,0.07,14,1,128.2,1
10436,48,8,844.84,105.6,0.23,18,0,183.04,0
10437,5,6,660.73,110.12,0.26,13,1,147.16,0
10438,33,6,430.62,71.77,0.42,11,1,127.94,0
10439,64,6,596.23,99.37,0.17,12,0,134.74,0
10440,57,8,870.46,108.81,0.18,13,1,194.04,1
10441,22,7,823.18,117.6,0.37,19,1,170.9,0
10442,17,4,195.26,48.82,0.45,12,1,71.47,1
10443,11,8,705.36,88.17,0.37,17,1,177.04,0
10444,4,7,165.95,23.71,0.61,14,0,95.13,0
10445,15,5,443.99,88.8,0.21,14,1,98.83,0
10446,23,6,265.87,44.31,0.2,11,0,102.87,1
10447,13,4,137.25,34.31,0.48,19,0,67.18,0
10448,3,7,325.78,46.54,0.21,11,1,114.5,0
10449,1,7,652.67,93.24,0.21,20,1,151.8,0
10450,19,2,235.23,117.62,0.23,17,1,51.49,1
10451,6,5,574.63,114.93,0.24,17,1,117.46,0
10452,4,7,363.75,51.96,0.13,9,1,120.05,0
10453,36,6,679.27,113.21,0.42,16,1,143.81,0
10454,30,3,347.7,115.9,0.27,14,0,75.36,1
10455,37,10,320.0,32.0,0.19,8,0,158.1,0
10456,19,3,289.88,96.63,0.23,13,1,71.25,0
10457,13,10,530.84,53.08,0.41,19,1,169.25,1
10458,28,2,237.18,118.59,0.33,13,1,57.06,0
10459,2,5,121.06,24.21,0.23,10,1,70.55,0
10460,76,6,168.38,28.06,0.86,15,0,90.13,1
10461,8,10,760.85,76.09,0.05,20,1,201.11,1
10462,43,7,608.55,86.94,0.32,11,0,144.93,0
10463,43,7,353.98,50.57,0.17,16,0,123.81,1
10464,39,6,276.36,46.06,0.2,16,1,102.21,0
10465,18,8,600.32,75.04,0.33,11,1,162.32,0
10466,7,6,404.39,67.4,0.13,11,1,122.06,0
10467,4,6,465.89,77.65,0.24,10,1,123.33,0
10468,12,3,230.21,76.74,0.07,9,0,53.79,1
10469,22,8,288.14,36.02,0.71,10,1,128.59,0
10470,24,5,582.54,116.51,0.06,16,1,114.09,0
10471,42,3,339.44,113.15,0.21,9,0,70.49,0
10472,53,5,93.0,18.6,0.14,10,0,75.8,1
10473,22,3,196.58,65.53,0.14,17,0,50.94,0
10474,7,9,214.68,23.85,0.24,10,1,119.45,0
10475,14,6,658.16,109.69,0.15,17,1,144.83,0
10476,9,4,429.01,107.25,0.1,18,1,94.88,1
