CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase,add_to_cart_order,days_since_prior_order
10037,43,6,287.55,47.92,0.21,16,0,5,23
10038,41,3,242.52,80.84,0.43,19,0,14,15
10039,60,5,298.58,59.72,0.12,18,0,12,2
10040,19,4,194.91,48.73,0.39,16,0,10,6
10041,32,3,47.42,15.81,0.73,12,0,4,2
10042,12,8,780.62,97.58,0.42,11,1,1,15
10043,27,5,414.03,82.81,0.17,13,1,9,21
10044,11,9,224.91,24.99,0.27,9,1,11,16
10045,26,10,1149.89,114.99,0.41,15,1,6,7
10046,8,8,477.29,59.66,0.36,12,1,13,4
10047,47,8,451.03,56.38,0.25,18,0,3,1
10048,25,3,83.53,27.84,0.21,10,0,1,3
10049,16,10,1054.94,105.49,0.18,21,1,1,24
10050,5,6,363.45,60.58,0.37,18,1,11,29
10051,66,6,708.8,118.13,0.39,17,0,8,8
10052,39,7,356.83,50.98,0.33,19,1,3,24
10053,21,3,153.77,51.26,0.11,11,0,13,25
10054,1,5,488.25,97.65,0.38,19,1,14,3
10055,44,4,67.51,16.88,0.5,13,0,9,20
10056,25,4,398.34,99.58,0.22,21,0,14,12
10057,45,2,84.14,42.07,0.43,20,0,13,17
10058,7,2,219.31,109.66,0.31,9,1,13,9
10059,80,3,241.67,80.56,0.05,14,0,5,20
10060,46,6,675.23,112.54,0.12,15,1,4,22
10061,23,10,811.86,81.19,0.11,15,1,13,11
10062,8,8,122.46,15.31,0.41,10,1,3,22
10063,35,7,317.29,45.33,0.25,11,0,10,20
10064,70,5,199.4,39.88,0.11,21,0,2,20
10065,28,10,307.11,30.71,0.1,15,0,7,3
10066,1,4,343.36,85.84,0.27,13,1,10,11
10067,15,5,229.71,45.94,0.1,19,1,8,14
10068,23,5,504.0,100.8,0.07,20,0,6,29
10069,65,6,520.03,86.67,0.44,19,0,1,21
10070,7,5,586.92,117.38,0.16,14,1,6,21
10071,21,6,561.84,93.64,0.24,11,1,1,28
10072,107,13,1516.21,116.63,0.38,10,1,14,8
10073,23,7,343.32,49.05,0.42,21,0,1,25
10074,10,5,593.69,118.74,0.8,10,1,13,0
10075,53,5,566.22,113.24,0.51,18,0,12,1
10076,4,7,738.27,105.47,0.53,15,1,8,28
10077,17,8,478.26,59.78,0.25,19,1,2,25
10078,28,9,1009.41,112.16,0.51,10,1,12,26
10079,14,9,450.88,50.1,0.35,17,1,12,16
10080,56,7,158.45,22.64,0.15,17,0,10,6
10081,60,9,266.18,29.58,0.42,9,0,10,14
10082,79,4,176.88,44.22,0.2,14,0,8,11
10083,29,4,175.01,43.75,0.34,15,1,9,28
10084,22,5,472.58,94.52,0.1,8,1,11,20
10085,18,8,249.83,31.23,0.05,21,0,10,2
10086,33,3,207.11,69.04,0.33,19,0,8,17
10087,7,6,168.16,28.03,0.18,15,1,9,6
10088,76,7,395.37,56.48,0.25,20,0,3,6
10089,9,8,162.16,20.27,0.22,11,1,8,19
10090,45,7,286.28,40.9,0.38,21,0,4,21
10091,21,5,422.53,84.51,0.45,9,1,9,28
10092,31,7,603.66,86.24,0.26,8,0,10,2
10093,12,2,120.98,60.49,0.2,16,0,14,17
10094,35,6,357.26,59.54,0.36,17,1,13,11
10095,12,5,289.56,57.91,0.24,9,0,7,26
10096,33,4,139.71,34.93,0.46,11,0,14,14
10097,2,6,659.63,109.94,0.25,20,1,11,19
10098,12,3,55.31,18.44,0.44,15,1,7,24
10099,11,5,93.91,18.78,0.22,18,0,11,1
10100,42,6,487.4,81.23,0.32,10,0,6,13
10101,92,6,620.58,103.43,0.12,8,0,2,7
10102,44,5,80.57,16.11,0.23,8,0,7,19
10103,26,7,529.64,75.66,0.15,10,1,9,9
10104,17,6,163.14,27.19,0.73,11,1,1,18
10105,88,6,587.32,97.89,0.07,13,0,1,7
10106,38,6,411.73,68.62,0.21,13,1,12,23
10107,3,3,320.64,106.88,0.32,21,1,12,0
10108,62,4,63.78,15.94,0.13,15,0,8,14
10109,8,12,1206.55,100.55,0.23,8,1,7,17
10110,11,8,693.72,86.72,0.35,11,1,8,21
10111,24,7,592.8,84.69,0.37,16,1,6,25
10112,87,6,664.84,110.81,0.17,12,0,5,18
10113,14,5,324.33,64.87,0.49,16,0,4,15
10114,33,6,699.49,116.58,0.26,10,1,4,1
10115,26,7,109.55,15.65,0.46,16,1,10,10
10116,67,6,301.83,50.3,0.15,14,0,9,27
10117,4,5,582.56,116.51,0.75,19,1,8,16
10118,52,6,402.44,67.07,0.32,13,1,8,4
10119,24,5,298.18,59.64,0.36,9,1,2,20
10120,38,11,353.78,32.16,0.18,17,1,9,20
10121,3,8,616.55,77.07,0.34,14,1,13,25
10122,14,10,1166.53,116.65,0.6,12,1,6,7
10123,7,7,714.95,102.14,0.66,18,1,5,10
10124,23,5,417.09,83.42,0.79,19,1,13,2
10125,11,9,514.89,57.21,0.19,12,0,12,15
10126,56,2,87.53,43.76,0.18,13,0,13,15
10127,14,4,473.55,118.39,0.41,16,1,5,25
10128,61,4,201.7,50.42,0.24,19,0,8,9
10129,5,4,283.79,70.95,0.69,16,1,8,20
10130,29,4,365.82,91.46,0.24,14,0,14,9
10131,5,9,975.77,108.42,0.27,11,1,5,11
10132,31,5,538.09,107.62,0.18,9,0,3,17
10133,76,9,709.11,78.79,0.12,21,0,10,13
10134,2,3,356.26,118.75,0.22,20,1,3,4
10135,12,10,297.36,29.74,0.35,17,1,2,24
10136,17,5,79.69,15.94,0.32,20,0,11,26
10137,19,5,232.62,46.52,0.1,20,0,11,13
10138,2,5,214.05,42.81,0.15,9,1,6,10
10139,22,1,47.06,47.06,0.05,16,0,12,13
10140,20,6,251.11,41.85,0.43,21,1,13,21
10141,11,8,198.08,24.76,0.06,15,1,13,20
10142,7,3,137.23,45.74,0.31,15,1,3,17
10143,41,8,392.62,49.08,0.12,15,1,9,15
10144,37,3,248.39,82.8,0.42,8,0,5,20
10145,34,10,256.55,25.66,0.05,12,0,1,24
10146,12,3,338.16,112.72,0.23,17,1,9,4
10147,36,4,196.15,49.04,0.15,20,1,5,10
10148,10,5,264.66,52.93,0.24,15,1,7,12
10149,46,8,187.7,23.46,0.3,21,1,6,14
10150,86,6,91.22,15.2,0.34,14,0,1,15
10151,15,5,236.4,47.28,0.59,17,1,9,20
10152,2,4,255.27,63.82,0.33,16,1,2,26
10153,3,2,199.65,99.82,0.11,14,1,13,21
10154,21,4,183.86,45.96,0.23,20,0,7,2
10155,2,4,312.4,78.1,0.37,18,1,5,23
10156,8,5,342.63,68.53,0.34,17,1,10,10
10157,65,6,552.91,92.15,0.45,9,0,12,3
10158,2,4,325.75,81.44,0.09,15,0,14,6
10159,1,5,508.37,101.67,0.19,18,1,3,29
10160,44,6,541.33,90.22,0.44,15,1,5,17
10161,30,4,282.65,70.66,0.47,8,1,12,23
10162,1,7,717.41,102.49,0.34,15,1,13,12
10163,48,9,139.22,15.47,0.16,17,0,3,25
10164,11,8,623.55,77.94,0.45,18,1,9,6
10165,19,6,590.32,98.39,0.35,14,1,6,27
10166,30,5,421.83,84.37,0.2,8,1,12,13
10167,42,6,610.41,101.74,0.16,17,0,9,4
10168,40,5,85.15,17.03,0.18,17,0,14,24
10169,2,2,49.13,24.56,0.37,18,1,12,10
10170,16,7,152.08,21.73,0.31,8,1,1,17
10171,26,3,120.57,40.19,0.35,18,0,11,7
10172,35,9,463.17,51.46,0.16,16,1,12,10
10173,7,4,275.93,68.98,0.46,8,1,12,15
10174,2,11,620.31,56.39,0.2,20,1,12,26
10175,1,10,296.43,29.64,0.71,8,1,7,28
10176,16,4,243.58,60.9,0.05,19,1,14,12
10177,39,6,452.37,75.4,0.05,17,0,9,19
10178,14,7,325.25,46.46,0.66,11,1,8,18
10179,8,7,651.41,93.06,0.22,16,1,9,6
10180,53,9,493.15,54.79,0.05,8,1,6,4
10181,1,6,673.17,112.2,0.17,18,1,9,3
10182,37,4,225.74,56.44,0.34,12,1,7,12
10183,4,5,453.07,90.61,0.36,16,1,11,19
10184,55,2,113.98,56.99,0.11,13,0,11,27
10185,16,8,330.29,41.29,0.33,15,0,12,4
10186,182,5,579.74,115.95,0.07,17,0,2,27
10187,26,6,548.9,91.48,0.41,13,1,10,8
10188,24,7,219.73,31.39,0.27,16,1,3,15
10189,27,6,332.02,55.34,0.09,12,1,3,21
10190,8,3,57.23,19.08,0.35,12,0,13,15
10191,23,3,356.01,118.67,0.44,11,0,14,16
10192,81,7,322.51,46.07,0.37,10,0,10,24
10193,33,5,286.46,57.29,0.24,9,0,11,11
10194,3,5,484.52,96.9,0.45,9,1,4,18
10195,18,4,179.84,44.96,0.45,8,1,7,2
10196,31,10,1095.89,109.59,0.34,21,1,5,26
10197,3,3,308.47,102.82,0.41,20,1,5,25
10198,21,5,134.2,26.84,0.1,16,1,8,17
10199,26,5,254.38,50.88,0.05,16,0,12,3
10200,17,4,228.56,57.14,0.42,17,0,9,7
10201,17,7,602.27,86.04,0.15,14,1,14,16
10202,204,7,448.49,64.07,0.09,18,0,7,13
10203,14,7,123.3,17.61,0.61,9,0,6,14
10204,48,7,654.02,93.43,0.13,13,0,1,8
10205,5,4,137.7,34.42,0.69,14,0,8,3
10206,23,6,168.31,28.05,0.24,16,0,11,27
10207,5,8,524.16,65.52,0.21,8,1,3,7
10208,57,9,597.25,66.36,0.46,9,1,13,22
10209,5,6,473.12,78.85,0.57,13,1,2,14
10210,13,7,127.78,18.25,0.19,12,0,4,11
10211,45,4,316.78,79.19,0.5,11,1,7,26
10212,55,4,388.69,97.17,0.22,19,0,14,14
10213,23,6,529.89,88.32,0.4,15,1,5,24
10214,14,6,554.86,92.48,0.19,11,1,14,25
10215,17,8,308.08,38.51,0.17,16,1,14,3
10216,42,8,743.93,92.99,0.25,8,1,8,11
10217,44,11,1256.2,114.2,0.44,15,1,6,25
10218,16,5,304.96,60.99,0.18,10,1,10,2
10219,19,6,395.31,65.89,0.55,10,0,14,5
10220,20,5,505.06,101.01,0.16,15,1,7,3
10221,1,5,278.66,55.73,0.27,8,1,6,8
10222,21,5,479.79,95.96,0.12,8,1,8,19
10223,22,7,542.91,77.56,0.24,17,1,6,24
10224,33,6,320.75,53.46,0.44,21,0,11,2
10225,14,5,424.12,84.82,0.15,12,1,6,1
10226,32,6,649.45,108.24,0.47,11,0,10,18
10227,106,6,544.86,90.81,0.07,16,0,10,15
10228,2,5,277.01,55.4,0.25,18,1,8,8
10229,7,8,879.38,109.92,0.05,19,1,3,25
10230,25,7,812.37,116.05,0.31,8,1,1,5
10231,78,2,101.7,50.85,0.25,9,0,10,6
10232,26,6,528.83,88.14,0.43,10,1,12,7
10233,11,5,540.23,108.05,0.25,14,1,9,20
10234,5,10,728.18,72.82,0.47,10,1,8,26
10235,20,6,460.17,76.7,0.34,11,1,2,27
10236,3,5,420.12,84.02,0.2,8,1,3,24
10237,130,7,138.55,19.79,0.41,17,0,5,19
10238,5,6,410.57,68.43,0.05,15,1,7,20
10239,5,4,65.41,16.35,0.25,10,1,13,3
10240,37,7,809.75,115.68,0.16,11,1,8,24
10241,18,3,214.42,71.47,0.14,11,0,10,17
10242,127,5,349.57,69.91,0.16,17,0,13,20
10243,30,5,497.49,99.5,0.25,13,1,9,29
10244,41,8,268.93,33.62,0.26,9,0,8,26
10245,19,10,500.65,50.06,0.36,13,1,5,24
10246,34,6,663.65,110.61,0.2,16,1,2,4
10247,15,7,600.52,85.79,0.6,11,1,2,5
10248,69,6,99.26,16.54,0.12,13,0,6,8
10249,53,4,172.26,43.06,0.3,12,0,11,29
10250,4,3,211.85,70.62,0.27,18,1,8,12
10251,13,9,942.63,104.74,0.27,9,1,10,29
10252,76,8,625.12,78.14,0.15,21,0,6,4
10253,36,5,594.73,118.95,0.23,16,1,5,26
10254,23,8,441.75,55.22,0.16,14,0,8,8
10255,6,3,205.52,68.51,0.6,20,0,6,24
10256,27,7,218.65,31.24,0.1,17,1,11,10
10257,64,8,581.7,72.71,0.11,13,0,11,0
10258,71,6,442.88,73.81,0.43,11,0,14,23
10259,58,7,262.64,37.52,0.27,14,0,9,18
10260,12,5,516.42,103.28,0.05,11,1,14,0
10261,33,5,328.09,65.62,0.52,16,0,7,8
10262,58,7,767.56,109.65,0.08,8,0,3,18
10263,1,7,381.68,54.53,0.21,20,1,4,23
10264,20,7,231.97,33.14,0.27,10,1,14,14
10265,35,8,268.49,33.56,0.31,14,0,9,29
10266,59,6,205.36,34.23,0.53,13,0,2,22
10267,46,6,376.63,62.77,0.35,19,1,10,17
10268,1,2,84.38,42.19,0.42,14,1,13,4
10269,25,5,564.29,112.86,0.32,13,1,6,14
10270,47,9,782.37,86.93,0.13,14,1,8,16
10271,18,3,99.1,33.03,0.22,20,0,12,23
10272,2,6,180.4,30.07,0.25,8,1,1,3
10273,86,10,188.64,18.86,0.5,18,0,8,10
10274,19,4,96.23,24.06,0.45,14,0,9,2
10275,49,3,176.8,58.93,0.51,18,0,3,29
10276,53,2,164.41,82.2,0.07,14,0,2,3
10277,10,4,405.62,101.4,0.11,11,1,12,20
10278,21,3,324.45,108.15,0.08,16,1,9,15
10279,8,6,497.47,82.91,0.07,18,1,9,3
10280,56,7,235.97,33.71,0.27,9,0,6,29
10281,20,6,442.39,73.73,0.43,15,1,11,21
10282,108,7,444.53,63.5,0.49,21,0,12,22
10283,66,5,188.69,37.74,0.17,19,0,7,13
10284,2,6,569.45,94.91,0.34,15,0,14,28
10285,43,3,252.43,84.14,0.37,14,0,12,27
10286,59,7,574.43,82.06,0.22,8,1,10,15
10287,2,7,608.79,86.97,0.43,8,1,1,14
10288,46,6,579.13,96.52,0.05,18,0,6,25
10289,17,9,840.84,93.43,0.52,14,1,8,3
10290,21,5,391.75,78.35,0.52,11,1,4,5
10291,93,6,495.4,82.57,0.44,21,0,7,2
10292,15,4,83.25,20.81,0.44,8,1,1,26
10293,43,2,115.55,57.78,0.16,21,0,4,8
10294,48,6,271.63,45.27,0.21,8,0,4,26
10295,2,3,338.63,112.88,0.27,17,1,1,18
10296,2,5,170.53,34.11,0.32,10,0,6,8
10297,38,5,553.43,110.69,0.24,8,1,10,26
10298,17,3,275.52,91.84,0.27,16,0,2,21
10299,22,6,334.26,55.71,0.11,8,0,2,17
10300,73,7,194.02,27.72,0.52,9,0,6,2
10301,59,5,552.28,110.46,0.19,11,1,6,13
10302,66,6,623.85,103.98,0.25,13,1,9,4
10303,10,5,171.22,34.24,0.38,9,1,1,21
10304,10,4,171.4,42.85,0.09,18,1,9,14
10305,8,5,544.51,108.9,0.78,18,1,14,29
10306,33,5,469.44,93.89,0.27,14,1,11,20
10307,1,8,816.98,102.12,0.05,13,1,8,16
10308,6,6,588.47,98.08,0.44,11,1,11,29
10309,4,6,151.68,25.28,0.47,15,0,5,26
10310,33,5,143.67,28.73,0.15,19,0,10,0
10311,13,4,80.68,20.17,0.29,14,1,10,22
10312,12,5,205.61,41.12,0.53,17,1,7,18
10313,67,4,243.38,60.84,0.21,18,0,2,0
10314,18,7,684.34,97.76,0.09,16,1,2,13
10315,18,8,858.23,107.28,0.13,16,1,1,20
10316,4,6,547.31,91.22,0.4,19,1,2,29
10317,37,5,363.12,72.62,0.17,15,1,5,11
10318,64,8,770.88,96.36,0.31,11,1,4,21
10319,6,5,519.03,103.81,0.05,20,1,5,13
10320,61,7,517.04,73.86,0.16,15,0,11,25
10321,4,2,208.67,104.34,0.12,9,0,1,28
10322,9,8,576.43,72.05,0.58,9,1,4,29
10323,33,8,665.29,83.16,0.55,17,0,10,26
10324,43,3,344.12,114.71,0.2,10,0,8,15
10325,9,4,264.72,66.18,0.38,13,1,12,12
10326,4,7,173.75,24.82,0.07,10,1,9,13
10327,7,5,593.22,118.64,0.38,10,1,13,28
10328,43,6,550.72,91.79,0.17,13,0,4,3
10329,21,5,125.91,25.18,0.57,13,1,10,16
10330,14,5,351.82,70.36,0.52,11,1,5,3
10331,19,5,102.54,20.51,0.29,10,1,12,19
10332,7,6,292.62,48.77,0.28,16,1,13,22
10333,4,6,312.56,52.09,0.24,21,1,6,7
10334,6,3,304.64,101.55,0.25,13,0,5,10
10335,41,11,840.88,76.44,0.21,12,1,2,27
10336,9,4,268.69,67.17,0.35,18,1,2,1
10337,33,6,599.13,99.86,0.05,16,1,7,4
10338,35,5,141.25,28.25,0.19,15,0,1,22
10339,18,5,334.58,66.92,0.07,19,1,5,29
10340,41,4,206.22,51.56,0.05,11,0,3,27
10341,22,9,369.78,41.09,0.74,17,1,13,0
10342,2,6,701.94,116.99,0.23,14,0,10,25
10343,32,7,553.26,79.04,0.54,20,1,12,15
10344,70,4,293.25,73.31,0.17,8,0,3,18
10345,25,4,225.58,56.4,0.44,17,0,11,11
10346,23,6,396.95,66.16,0.28,10,1,7,28
10347,175,6,702.32,117.05,0.36,21,0,8,13
10348,6,3,47.03,15.68,0.17,19,0,3,16
10349,3,7,186.75,26.68,0.16,18,1,1,25
10350,10,3,207.67,69.22,0.57,15,1,10,7
10351,125,5,230.52,46.1,0.25,11,0,5,11
10352,31,9,661.05,73.45,0.33,20,1,13,3
10353,15,4,254.05,63.51,0.08,15,0,12,27
10354,3,5,287.98,57.6,0.15,11,1,7,1
10355,100,3,271.98,90.66,0.35,8,0,1,16
10356,12,4,84.87,21.22,0.33,12,1,10,26
10357,41,6,307.73,51.29,0.05,14,0,2,0
10358,29,7,189.75,27.11,0.54,8,1,11,26
10359,7,7,373.51,53.36,0.17,18,1,9,27
10360,2,5,499.33,99.87,0.14,11,1,13,6
10361,156,6,341.4,56.9,0.31,17,0,10,27
10362,52,8,537.64,67.2,0.55,18,0,13,15
10363,7,4,386.61,96.65,0.1,11,1,10,28
10364,88,3,268.45,89.48,0.1,11,0,5,12
10365,2,5,278.93,55.79,0.36,13,1,3,23
10366,60,4,166.19,41.55,0.37,17,0,13,0
10367,33,6,505.39,84.23,0.08,14,1,11,25
10368,28,6,94.25,15.71,0.06,16,1,10,21
10369,7,4,266.5,66.62,0.09,15,1,10,27
10370,14,5,316.03,63.21,0.27,15,0,4,23
10371,7,2,63.82,31.91,0.2,12,0,3,28
10372,103,4,146.26,36.56,0.38,11,0,2,7
10373,7,6,320.16,53.36,0.13,20,1,11,10
10374,1,5,242.06,48.41,0.07,17,0,5,15
10375,3,4,377.66,94.42,0.2,21,1,5,28
10376,61,7,131.32,18.76,0.31,20,0,4,22
10377,8,4,295.54,73.89,0.18,17,1,2,16
10378,20,10,917.05,91.7,0.19,19,1,14,14
10379,51,3,208.33,69.44,0.43,15,1,4,16
10380,103,2,77.43,38.72,0.05,11,0,8,18
10381,7,6,498.7,83.12,0.41,9,1,9,21
10382,23,5,438.54,87.71,0.56,13,1,7,0
10383,54,7,811.77,115.97,0.39,8,0,1,6
10384,25,3,168.47,56.16,0.3,11,0,2,29
10385,17,2,45.7,22.85,0.35,14,0,7,12
10386,32,9,685.27,76.14,0.41,14,1,5,6
10387,63,10,632.01,63.2,0.6,17,1,6,18
10388,26,6,559.24,93.21,0.31,15,1,10,19
10389,7,8,582.15,72.77,0.07,10,1,6,22
10390,37,9,430.9,47.88,0.52,19,1,7,5
10391,17,10,1089.32,108.93,0.26,9,1,2,8
10392,27,6,480.84,80.14,0.08,10,0,13,8
10393,19,6,650.75,108.46,0.27,13,1,8,18
10394,2,6,382.11,63.68,0.33,17,1,11,29
10395,20,6,644.57,107.43,0.13,14,1,12,12
10396,30,5,592.37,118.47,0.38,9,1,12,8
10397,10,6,662.35,110.39,0.19,10,1,1,1
10398,76,9,1078.82,119.87,0.34,21,1,3,2
10399,38,7,209.93,29.99,0.1,20,1,10,13
10400,53,2,94.11,47.06,0.61,20,0,8,29
10401,40,4,155.65,38.91,0.34,13,0,4,5
10402,35,5,338.96,67.79,0.4,18,0,2,3
10403,3,6,515.5,85.92,0.32,18,1,2,7
10404,68,7,717.7,102.53,0.07,21,0,4,15
10405,7,8,886.64,110.83,0.41,16,1,5,1
10406,87,5,448.28,89.66,0.21,13,0,9,2
10407,70,5,594.89,118.98,0.41,11,0,2,21
10408,7,5,160.78,32.16,0.06,17,0,11,21
10409,1,4,452.12,113.03,0.5,16,1,11,0
10410,5,1,76.71,76.71,0.3,12,0,10,8
10411,23,6,170.95,28.49,0.21,20,0,9,2
10412,72,7,170.19,24.31,0.22,19,0,1,5
10413,16,9,739.53,82.17,0.17,19,1,2,27
10414,20,8,695.19,86.9,0.4,15,1,13,26
10415,12,3,141.91,47.3,0.49,20,1,11,24
10416,40,5,128.09,25.62,0.06,19,0,4,17
10417,19,3,280.7,93.57,0.2,13,1,6,3
10418,9,8,496.25,62.03,0.09,10,0,14,28
10419,11,9,592.96,65.88,0.35,15,1,13,3
10420,8,10,990.15,99.02,0.3,15,1,7,15
10421,3,3,91.13,30.38,0.41,20,0,5,11
10422,5,4,257.95,64.49,0.15,17,1,9,1
10423,6,8,735.51,91.94,0.62,17,1,3,21
10424,5,7,787.0,112.43,0.41,12,1,2,18
10425,44,4,477.99,119.5,0.44,11,1,8,7
10426,10,7,616.56,88.08,0.47,17,1,14,8
10427,28,6,629.78,104.96,0.15,12,1,3,1
10428,12,4,383.53,95.88,0.34,13,1,8,5
10429,12,9,432.63,48.07,0.24,15,1,9,9
10430,10,4,374.67,93.67,0.19,17,1,6,26
10431,36,7,570.74,81.53,0.4,13,1,14,16
10432,16,8,303.57,37.95,0.17,11,1,10,19
10433,28,9,223.55,24.84,0.12,13,1,10,8
10434,19,2,166.52,83.26,0.52,20,0,13,28
10435,35,5,221.57,44.31,0.28,13,0,8,9
10436,17,10,1162.37,116.24,0.07,13,1,13,28
10437,28,7,262.96,37.57,0.05,16,1,12,24
10438,13,6,361.84,60.31,0.4,13,1,13,17
10439,26,8,175.59,21.95,0.1,12,0,11,21
10440,18,8,923.17,115.4,0.24,8,1,13,20
10441,37,7,544.88,77.84,0.63,12,0,7,14
10442,15,4,459.64,114.91,0.19,19,0,11,3
10443,68,4,187.49,46.87,0.19,14,0,6,23
10444,62,4,129.1,32.28,0.16,16,0,3,18
10445,71,7,786.18,112.31,0.19,18,0,9,28
10446,10,8,796.55,99.57,0.05,11,1,5,29
10447,26,10,285.77,28.58,0.52,17,1,10,20
10448,11,6,193.15,32.19,0.18,10,1,4,16
10449,12,8,683.59,85.45,0.32,18,1,7,11
10450,55,3,259.94,86.65,0.23,16,0,4,29
10451,52,5,319.43,63.89,0.64,20,0,1,15
10452,23,7,717.16,102.45,0.06,20,1,12,25
10453,20,9,966.61,107.4,0.24,9,1,7,18
10454,14,5,105.12,21.02,0.34,10,1,10,26
10455,32,7,369.93,52.85,0.45,19,0,12,5
10456,81,7,699.36,99.91,0.19,18,0,4,14
10457,17,3,81.0,27.0,0.14,20,0,13,27
10458,1,8,600.92,75.11,0.27,21,1,14,1
10459,57,6,421.62,70.27,0.25,11,0,5,1
10460,22,8,291.77,36.47,0.35,15,1,13,1
10461,18,8,804.26,100.53,0.14,18,1,10,19
10462,34,12,954.2,79.52,0.44,8,1,3,13
10463,5,8,125.65,15.71,0.25,11,1,1,0
10464,6,7,107.41,15.34,0.44,9,1,6,10
10465,5,3,244.58,81.53,0.65,15,1,14,7
10466,17,7,392.69,56.1,0.32,17,1,14,18
10467,13,9,277.17,30.8,0.2,12,0,8,8
10468,23,8,950.47,118.81,0.18,12,1,13,2
10469,1,8,263.81,32.98,0.35,17,1,13,17
10470,20,6,164.82,27.47,0.39,17,1,10,10
10471,150,8,622.05,77.76,0.59,17,0,1,7
10472,8,6,410.89,68.48,0.1,10,1,8,28
10473,14,7,562.23,80.32,0.39,14,1,14,1
10474,59,2,54.82,27.41,0.22,12,0,2,13
10475,72,7,583.89,83.41,0.08,17,1,3,29
10476,20,6,472.53,78.76,0.21,11,0,1,17
10477,74,3,119.7,39.9,0.05,14,0,11,1
10478,2,8,715.13,89.39,0.48,16,1,5,11
10479,86,6,444.53,74.09,0.06,12,0,12,15
10480,88,6,311.53,51.92,0.28,20,0,1,29
10481,26,6,688.0,114.67,0.12,11,0,6,11
10482,92,2,182.57,91.28,0.2,18,0,4,15
10483,24,4,127.99,32.0,0.05,18,0,2,2
10484,32,3,217.65,72.55,0.05,18,0,8,29
10485,20,5,77.1,15.42,0.57,18,1,7,13
10486,46,4,425.84,106.46,0.33,17,1,7,2
10487,4,6,277.52,46.25,0.2,14,1,3,24
10488,43,8,881.99,110.25,0.13,13,0,8,10
10489,34,6,130.27,21.71,0.07,20,0,7,11
10490,37,5,322.92,64.58,0.15,15,1,14,23
10491,25,10,1110.96,111.1,0.45,8,1,1,5
10492,19,11,1210.11,110.01,0.3,17,1,4,16
10493,3,8,547.4,68.42,0.23,21,1,3,0
10494,4,6,298.06,49.68,0.53,17,1,12,28
10495,19,6,704.01,117.34,0.17,10,1,2,29
10496,47,7,460.16,65.74,0.34,9,1,9,15
10497,4,4,416.5,104.12,0.05,21,1,8,25
10498,122,4,155.35,38.84,0.22,12,0,3,12
10499,22,4,392.72,98.18,0.28,16,1,10,26
10500,25,5,562.18,112.44,0.43,13,0,6,1
10501,101,9,238.32,26.48,0.25,18,0,1,9
10502,30,9,728.48,80.94,0.45,21,1,13,27
10503,23,2,34.65,17.32,0.11,12,0,9,9
10504,85,7,783.34,111.91,0.14,11,0,14,0
10505,40,2,208.37,104.18,0.41,16,0,11,27
10506,13,6,476.54,79.42,0.07,18,1,10,22
10507,131,3,109.43,36.48,0.2,8,0,10,1
10508,62,6,193.59,32.26,0.16,19,0,14,8
10509,5,7,764.9,109.27,0.31,14,1,11,12
10510,7,6,218.42,36.4,0.39,19,1,1,22
10511,50,6,230.37,38.4,0.12,16,0,4,29
