order_id,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,reorder_status,review_score,freight_value
10062,30,3,193.53,64.51,0.39,18,1,5,19.47
10063,34,7,651.42,93.06,0.25,11,1,4,18.05
10064,56,7,135.73,19.39,0.33,10,0,5,26.53
10065,3,12,1086.99,90.58,0.28,11,1,3,38.39
10066,44,4,276.65,69.16,0.49,12,0,5,27.68
10067,9,4,344.29,86.07,0.56,18,1,2,19.13
10068,7,5,433.32,86.66,0.3,11,1,4,17.53
10069,26,6,287.85,47.98,0.22,21,1,5,29.03
10070,4,6,201.18,33.53,0.35,14,1,5,16.51
10071,65,6,102.96,17.16,0.33,8,0,5,39.79
10072,30,8,139.04,17.38,0.47,16,1,1,17.16
10073,39,8,851.16,106.4,0.41,19,1,4,26.62
10074,1,5,342.18,68.44,0.47,8,1,5,5.36
10075,28,8,393.98,49.25,0.17,16,1,3,20.58
10076,25,6,664.67,110.78,0.4,15,1,5,19.02
10077,6,7,786.32,112.33,0.09,20,1,5,25.27
10078,5,3,214.11,71.37,0.21,12,1,5,41.92
10079,36,6,437.08,72.85,0.1,12,1,4,23.7
10080,12,7,570.56,81.51,0.21,8,1,5,19.25
10081,36,6,529.76,88.29,0.12,11,1,5,22.67
10082,25,10,501.26,50.13,0.2,14,1,4,32.69
10083,15,2,185.58,92.79,0.16,20,1,4,8.42
10084,78,4,68.23,17.06,0.32,19,0,4,42.93
10085,56,6,599.7,99.95,0.4,12,1,3,39.44
10086,14,6,515.8,85.97,0.23,16,1,5,15.48
10087,2,5,531.79,106.36,0.44,18,1,4,24.89
10088,11,7,561.24,80.18,0.15,9,1,3,44.44
10089,16,5,389.73,77.95,0.47,15,0,3,36.62
10090,37,5,196.64,39.33,0.13,10,1,5,25.79
10091,162,6,352.42,58.74,0.11,21,0,3,36.33
10092,14,6,583.36,97.23,0.18,10,0,4,7.24
10093,44,10,683.62,68.36,0.43,12,1,5,36.69
10094,27,7,650.5,92.93,0.19,13,1,1,42.75
10095,36,5,589.77,117.95,0.31,12,1,1,21.99
10096,5,9,564.5,62.72,0.13,15,0,5,20.78
10097,16,4,147.02,36.76,0.2,9,1,5,9.86
10098,9,3,184.94,61.65,0.15,11,1,5,19.66
10099,13,5,251.79,50.36,0.31,9,0,3,16.56
10100,22,7,260.56,37.22,0.05,9,1,4,11.39
10101,33,8,951.09,118.89,0.08,17,1,4,31.07
10102,4,7,437.27,62.47,0.17,17,1,3,42.4
10103,5,5,589.79,117.96,0.18,19,1,4,30.74
10104,12,6,537.03,89.5,0.12,15,1,2,43.04
10105,33,8,440.63,55.08,0.08,15,0,3,30.73
10106,57,5,75.16,15.03,0.27,14,0,5,15.19
10107,25,10,563.86,56.39,0.09,18,1,5,19.84
10108,58,2,95.39,47.7,0.31,9,0,5,27.18
10109,15,7,442.16,63.17,0.48,16,0,4,18.74
10110,12,7,524.05,74.86,0.34,18,1,5,15.38
10111,14,7,566.41,80.92,0.21,21,1,3,37.43
10112,6,8,231.02,28.88,0.29,20,1,4,38.32
10113,54,7,560.09,80.01,0.4,17,0,5,19.57
10114,13,10,721.4,72.14,0.41,15,1,1,13.3
10115,25,5,141.46,28.29,0.11,21,0,5,17.56
10116,26,10,365.07,36.51,0.19,19,1,5,15.34
10117,23,3,212.28,70.76,0.33,14,0,1,20.58
10118,1,3,253.1,84.37,0.1,10,1,4,34.78
10119,134,5,163.93,32.79,0.38,20,0,4,26.89
10120,71,5,423.23,84.65,0.22,20,0,5,13.53
10121,7,5,239.54,47.91,0.14,17,1,5,11.95
10122,11,9,918.92,102.1,0.3,17,1,5,21.65
10123,23,4,223.15,55.79,0.05,18,1,5,38.04
10124,70,7,703.22,100.46,0.27,13,0,3,33.45
10125,124,6,237.74,39.62,0.3,9,0,5,28.68
10126,9,2,185.06,92.53,0.46,10,1,4,26.73
10127,25,8,568.99,71.12,0.05,17,1,5,15.88
10128,50,4,331.15,82.79,0.26,14,0,4,5.13
10129,16,12,752.58,62.72,0.34,13,1,5,23.68
10130,40,6,710.93,118.49,0.41,20,1,5,8.17
10131,6,8,703.8,87.98,0.28,12,1,5,43.02
10132,28,3,167.44,55.81,0.14,9,1,5,20.21
10133,61,3,278.35,92.78,0.36,10,0,5,39.02
10134,124,6,553.12,92.19,0.2,12,0,4,38.19
10135,3,6,167.2,27.87,0.64,18,0,5,40.19
10136,17,6,235.85,39.31,0.26,9,1,5,8.33
10137,7,2,179.33,89.66,0.28,18,1,4,29.05
10138,18,7,375.25,53.61,0.27,21,1,5,24.35
10139,24,7,403.88,57.7,0.14,12,1,1,36.89
10140,3,8,536.91,67.11,0.72,19,1,4,10.96
10141,11,3,290.25,96.75,0.39,12,1,5,44.3
10142,79,5,319.02,63.8,0.29,11,0,5,36.28
10143,26,4,176.69,44.17,0.33,10,1,5,24.72
10144,19,9,777.0,86.33,0.17,9,1,5,37.42
10145,43,11,1163.38,105.76,0.05,9,1,4,43.19
10146,41,8,558.06,69.76,0.27,19,1,5,21.88
10147,2,5,442.92,88.58,0.36,11,1,4,38.42
10148,38,9,923.87,102.65,0.37,17,1,4,39.77
10149,55,9,284.15,31.57,0.25,10,0,2,23.96
10150,6,4,311.77,77.94,0.09,12,1,1,39.82
10151,46,4,366.68,91.67,0.14,14,0,5,17.87
10152,11,5,140.62,28.12,0.58,14,1,4,26.53
10153,11,9,565.03,62.78,0.4,20,1,5,31.54
10154,33,3,100.91,33.64,0.48,17,0,4,15.71
10155,4,3,190.92,63.64,0.17,17,0,4,41.35
10156,33,8,126.73,15.84,0.11,12,1,2,28.64
10157,66,6,556.19,92.7,0.1,11,0,4,25.35
10158,36,2,202.34,101.17,0.11,21,0,5,42.68
10159,18,10,1019.46,101.95,0.1,8,1,5,27.7
10160,18,13,1296.82,99.76,0.3,11,1,4,24.63
10161,44,6,124.96,20.83,0.29,16,1,5,32.0
10162,26,6,273.36,45.56,0.05,10,0,5,14.36
10163,3,7,281.05,40.15,0.38,17,1,3,40.18
10164,27,5,326.25,65.25,0.24,17,0,4,28.08
10165,51,6,669.37,111.56,0.16,20,1,5,29.38
10166,13,6,207.62,34.6,0.39,18,1,5,19.35
10167,79,3,293.02,97.67,0.48,11,0,4,26.47
10168,42,4,209.16,52.29,0.18,16,0,5,25.46
10169,26,6,158.88,26.48,0.61,19,0,4,6.7
10170,42,10,524.87,52.49,0.2,11,1,1,19.51
10171,3,3,110.48,36.83,0.22,15,1,5,22.25
10172,59,8,290.71,36.34,0.33,20,0,5,35.75
10173,52,7,830.47,118.64,0.46,8,1,5,43.87
10174,73,8,371.27,46.41,0.3,8,0,5,27.32
10175,5,6,593.69,98.95,0.25,21,1,5,40.14
10176,3,3,47.23,15.74,0.15,16,1,5,27.68
10177,5,8,175.13,21.89,0.41,18,1,5,36.07
10178,16,4,316.7,79.18,0.17,15,1,3,36.75
10179,17,8,694.99,86.87,0.26,20,1,3,14.74
10180,25,6,495.61,82.6,0.26,15,0,4,25.54
10181,4,7,745.64,106.52,0.06,15,1,5,33.54
10182,7,6,232.42,38.74,0.49,21,1,5,39.82
10183,51,6,292.69,48.78,0.05,11,0,2,38.75
10184,19,2,148.21,74.1,0.23,20,1,3,41.62
10185,50,4,122.18,30.54,0.36,21,1,4,38.4
10186,1,4,279.11,69.78,0.18,18,1,3,43.39
10187,25,4,316.06,79.02,0.22,13,0,4,11.82
10188,81,4,258.21,64.55,0.2,9,0,4,14.09
10189,27,4,388.22,97.06,0.22,13,0,4,32.17
10190,7,6,605.06,100.84,0.11,9,1,4,34.2
10191,38,6,259.98,43.33,0.51,8,0,5,34.48
10192,15,8,343.32,42.92,0.15,10,1,4,36.36
10193,34,6,155.03,25.84,0.77,18,0,5,22.26
10194,1,6,713.03,118.84,0.58,17,1,5,14.08
10195,31,8,270.52,33.82,0.51,20,1,5,15.76
10196,1,5,142.06,28.41,0.29,12,1,1,18.46
10197,41,5,355.2,71.04,0.48,18,1,4,27.85
10198,20,9,901.37,100.15,0.37,17,1,3,39.35
10199,4,6,146.69,24.45,0.31,20,1,5,16.31
10200,24,2,85.91,42.96,0.05,16,1,5,9.68
10201,3,9,1013.96,112.66,0.61,13,1,5,14.85
10202,32,9,617.9,68.66,0.17,15,1,4,39.6
10203,167,4,132.78,33.2,0.12,19,0,5,41.74
10204,45,9,342.71,38.08,0.32,17,1,1,20.12
10205,26,4,373.95,93.49,0.17,15,1,5,32.68
10206,4,5,315.32,63.06,0.29,20,1,2,33.08
10207,37,7,529.12,75.59,0.3,15,1,4,11.05
10208,33,5,448.8,89.76,0.2,11,1,5,28.27
10209,2,6,206.59,34.43,0.33,10,1,5,30.13
10210,48,3,306.35,102.12,0.44,21,0,5,13.9
10211,22,5,96.12,19.22,0.25,15,0,5,25.63
10212,17,4,124.05,31.01,0.29,11,1,2,28.06
10213,47,6,657.37,109.56,0.37,14,0,5,44.05
10214,16,7,182.18,26.03,0.51,10,0,5,37.7
10215,20,7,491.05,70.15,0.4,11,1,4,22.92
10216,7,2,78.67,39.34,0.75,20,1,4,44.3
10217,12,6,508.36,84.73,0.23,15,1,4,9.77
10218,57,4,434.28,108.57,0.51,10,0,5,29.9
10219,7,4,416.13,104.03,0.33,10,1,4,44.75
10220,17,6,564.53,94.09,0.09,13,1,3,38.98
10221,136,3,251.7,83.9,0.28,20,0,5,27.47
10222,9,11,1279.35,116.3,0.06,13,1,4,34.94
10223,75,6,204.69,34.12,0.43,10,0,1,37.89
10224,76,3,242.41,80.8,0.1,20,0,5,32.41
10225,3,6,674.11,112.35,0.1,8,1,5,32.53
10226,19,5,182.39,36.48,0.17,18,0,5,30.16
10227,21,7,320.75,45.82,0.18,14,1,5,8.73
10228,12,7,668.87,95.55,0.33,17,1,5,18.24
10229,2,4,379.88,94.97,0.13,14,1,5,23.65
10230,9,5,415.78,83.16,0.27,16,1,4,18.95
10231,4,8,178.62,22.33,0.48,12,1,5,36.59
10232,9,1,64.14,64.14,0.37,10,1,5,6.4
10233,50,8,678.78,84.85,0.19,16,1,5,43.22
10234,68,6,597.02,99.5,0.29,13,1,5,34.79
10235,2,4,414.9,103.72,0.08,9,1,5,10.88
10236,11,6,527.13,87.86,0.05,21,1,5,15.17
10237,119,3,226.06,75.35,0.22,14,0,5,33.69
10238,24,7,356.39,50.91,0.24,20,1,5,44.96
10239,30,7,645.02,92.15,0.5,19,1,5,18.41
10240,1,4,207.97,51.99,0.33,18,1,5,20.33
10241,20,4,276.33,69.08,0.42,20,0,5,17.55
10242,134,2,35.19,17.6,0.4,14,0,4,40.25
10243,15,6,184.02,30.67,0.33,16,1,5,25.08
10244,4,2,95.03,47.52,0.12,17,1,5,6.69
10245,19,4,255.07,63.77,0.15,21,1,5,21.36
10246,99,3,224.45,74.82,0.24,11,0,4,11.61
10247,13,2,72.3,36.15,0.26,8,0,5,12.99
10248,49,3,211.87,70.62,0.3,19,1,5,5.25
10249,49,6,491.42,81.9,0.29,18,0,5,15.89
10250,8,5,309.7,61.94,0.33,18,1,5,25.74
10251,18,7,503.68,71.95,0.29,16,1,5,7.91
10252,38,7,348.15,49.74,0.37,13,0,2,10.26
10253,16,3,124.09,41.36,0.38,12,1,5,43.34
10254,7,7,675.18,96.45,0.17,14,1,4,9.61
10255,103,9,414.1,46.01,0.09,11,1,5,33.84
10256,32,3,50.65,16.88,0.37,14,0,1,12.26
10257,61,8,750.45,93.81,0.63,13,1,5,10.2
10258,1,3,138.97,46.32,0.62,15,0,3,7.85
10259,10,5,218.39,43.68,0.36,10,0,4,37.75
10260,21,6,329.66,54.94,0.12,17,1,5,6.6
10261,3,8,508.64,63.58,0.29,13,1,5,42.19
10262,149,6,596.96,99.49,0.21,20,0,5,30.45
10263,9,7,222.15,31.74,0.7,19,1,4,20.72
10264,15,3,212.82,70.94,0.36,13,0,4,37.47
10265,8,6,96.08,16.01,0.3,14,1,4,30.61
10266,4,8,172.23,21.53,0.05,12,1,4,41.28
10267,8,11,919.72,83.61,0.23,10,1,5,42.62
10268,11,7,786.9,112.41,0.29,8,1,3,29.07
10269,31,5,106.77,21.35,0.48,17,0,5,41.83
10270,10,5,217.12,43.42,0.14,15,0,4,42.09
10271,14,7,170.71,24.39,0.38,12,1,4,32.6
10272,1,5,98.31,19.66,0.31,19,1,4,33.0
10273,14,6,462.73,77.12,0.29,20,1,1,35.66
10274,23,4,430.04,107.51,0.34,9,0,4,16.99
10275,6,3,83.04,27.68,0.27,8,0,2,36.07
10276,28,4,306.41,76.6,0.29,15,1,5,12.39
10277,11,2,66.85,33.42,0.39,17,0,4,40.14
10278,30,6,347.09,57.85,0.11,8,1,5,11.34
10279,1,5,228.17,45.63,0.19,13,1,5,30.84
10280,66,5,161.53,32.31,0.43,13,0,5,42.68
10281,1,5,250.01,50.0,0.34,14,1,4,16.94
10282,5,9,811.33,90.15,0.31,13,1,4,7.4
10283,46,8,268.35,33.54,0.13,19,0,4,8.42
10284,2,9,526.89,58.54,0.37,18,1,5,12.21
10285,38,6,463.94,77.32,0.16,20,1,5,43.57
10286,107,5,580.17,116.03,0.31,15,0,5,41.09
10287,62,6,234.52,39.09,0.47,11,0,1,40.45
10288,38,7,535.9,76.56,0.57,16,1,4,39.82
10289,96,6,109.82,18.3,0.2,9,0,4,41.42
10290,17,7,289.0,41.29,0.64,16,1,5,11.22
10291,62,8,552.16,69.02,0.23,11,0,3,27.33
10292,14,7,475.29,67.9,0.15,14,1,4,13.44
10293,80,8,959.04,119.88,0.49,17,0,5,28.38
10294,5,5,177.0,35.4,0.21,9,0,5,34.2
10295,85,4,325.34,81.33,0.09,15,0,2,16.12
10296,54,4,86.58,21.64,0.4,15,0,4,12.82
10297,57,6,644.86,107.48,0.29,17,0,2,31.08
10298,4,10,243.06,24.31,0.31,10,1,5,5.22
10299,28,6,388.81,64.8,0.23,21,1,3,40.73
10300,1,7,648.53,92.65,0.15,17,0,5,20.76
10301,39,5,358.6,71.72,0.26,20,0,3,7.92
10302,1,4,184.73,46.18,0.4,14,1,5,11.05
10303,3,12,1246.97,103.91,0.35,10,1,4,42.63
10304,8,9,875.29,97.25,0.39,14,1,3,29.15
10305,63,5,545.86,109.17,0.35,18,0,1,23.75
10306,14,9,690.21,76.69,0.34,19,1,5,11.59
10307,24,7,432.9,61.84,0.12,15,0,5,17.61
10308,26,8,800.53,100.07,0.19,13,1,4,9.83
10309,8,6,520.65,86.78,0.19,16,1,5,31.63
10310,26,7,292.11,41.73,0.23,21,0,5,20.28
10311,33,7,356.68,50.95,0.41,20,0,5,19.11
10312,11,7,536.46,76.64,0.14,21,1,5,14.0
10313,17,8,155.12,19.39,0.06,19,1,5,37.98
10314,19,4,112.81,28.2,0.13,9,1,1,39.26
10315,81,5,304.31,60.86,0.43,13,0,4,38.7
10316,27,8,332.35,41.54,0.34,15,1,5,12.33
10317,89,6,601.74,100.29,0.11,17,0,5,25.82
10318,25,4,252.92,63.23,0.38,21,0,5,32.87
10319,21,6,592.37,98.73,0.32,18,1,5,24.79
10320,1,5,226.88,45.38,0.28,14,1,4,35.31
10321,20,3,66.46,22.15,0.35,21,1,5,13.36
10322,79,6,694.37,115.73,0.37,8,0,5,14.47
10323,7,6,300.65,50.11,0.33,18,1,5,7.71
10324,2,7,566.58,80.94,0.26,20,1,5,7.38
10325,16,3,177.44,59.15,0.15,13,0,4,7.36
10326,14,5,463.24,92.65,0.15,12,1,3,36.51
10327,59,5,410.02,82.0,0.61,15,0,4,42.77
10328,1,3,235.75,78.58,0.21,21,1,5,43.65
10329,76,8,275.59,34.45,0.09,15,0,2,16.07
10330,35,8,703.6,87.95,0.42,12,0,5,23.2
10331,71,7,563.7,80.53,0.05,12,0,5,21.83
10332,29,5,291.77,58.35,0.41,14,1,4,27.71
10333,51,6,297.62,49.6,0.25,17,0,4,13.42
10334,13,6,617.39,102.9,0.32,11,1,4,37.18
10335,13,9,298.41,33.16,0.43,9,1,4,8.24
10336,15,5,433.63,86.73,0.14,16,1,3,40.68
10337,43,7,348.19,49.74,0.46,20,0,4,37.5
10338,14,7,375.04,53.58,0.15,16,1,5,42.37
10339,9,6,361.99,60.33,0.32,16,1,4,22.01
10340,84,7,767.54,109.65,0.44,15,1,5,16.8
10341,72,4,67.04,16.76,0.54,13,0,5,13.51
10342,13,5,102.76,20.55,0.52,12,0,5,13.17
10343,31,6,501.34,83.56,0.48,10,1,5,27.92
10344,10,9,175.63,19.51,0.24,13,1,3,17.72
10345,7,5,440.05,88.01,0.27,11,1,4,39.83
10346,13,7,559.65,79.95,0.38,9,1,5,41.64
10347,12,7,654.9,93.56,0.41,10,1,5,31.64
10348,65,5,77.88,15.58,0.55,14,0,4,17.99
10349,52,6,306.86,51.14,0.22,14,0,4,41.54
10350,38,5,255.09,51.02,0.28,16,0,5,28.87
10351,97,4,65.04,16.26,0.47,12,0,5,13.24
10352,17,5,171.62,34.32,0.33,20,0,4,23.9
10353,9,7,455.05,65.01,0.16,13,1,4,10.76
10354,4,3,101.0,33.67,0.29,19,1,5,11.67
10355,11,8,276.5,34.56,0.49,18,1,5,10.91
10356,5,6,473.83,78.97,0.23,13,1,4,20.84
10357,3,7,315.65,45.09,0.69,21,1,4,30.76
10358,28,8,426.85,53.36,0.24,11,0,4,31.41
10359,14,12,640.9,53.41,0.48,21,1,5,31.25
10360,25,4,160.04,40.01,0.69,16,0,4,40.79
10361,7,6,297.74,49.62,0.46,13,1,5,20.68
10362,34,4,153.71,38.43,0.62,11,0,4,44.34
10363,8,3,178.16,59.39,0.16,13,1,5,22.91
10364,10,5,186.05,37.21,0.06,17,0,5,26.9
10365,41,2,56.15,28.08,0.39,15,0,4,21.94
10366,25,3,288.51,96.17,0.18,21,0,5,8.35
10367,13,6,649.52,108.25,0.43,21,1,4,22.51
10368,24,6,657.12,109.52,0.12,15,1,2,6.12
10369,36,7,277.98,39.71,0.11,11,0,2,16.26
10370,73,11,1091.38,99.22,0.5,11,0,4,9.84
10371,27,5,305.97,61.19,0.48,20,1,3,20.2
10372,8,9,375.54,41.73,0.07,20,1,4,19.19
10373,42,6,203.82,33.97,0.62,21,0,5,5.94
10374,46,4,88.45,22.11,0.15,11,0,4,10.95
10375,7,4,270.18,67.54,0.17,13,0,4,30.8
10376,52,5,406.42,81.28,0.18,17,1,5,31.16
10377,19,10,958.29,95.83,0.24,8,1,5,8.56
10378,46,5,469.11,93.82,0.17,19,0,5,17.55
10379,9,3,306.1,102.03,0.37,13,0,5,38.44
10380,13,8,311.83,38.98,0.43,12,0,5,34.3
10381,93,4,386.28,96.57,0.69,21,0,4,7.9
10382,33,2,68.08,34.04,0.76,15,0,5,44.02
10383,45,1,83.05,83.05,0.47,8,0,5,9.78
10384,35,5,521.61,104.32,0.18,19,0,1,12.3
10385,7,8,122.13,15.27,0.27,14,1,4,21.07
10386,20,4,476.28,119.07,0.17,19,1,5,39.63
10387,50,7,128.04,18.29,0.25,16,0,5,20.43
10388,34,6,495.46,82.58,0.18,10,1,3,32.39
10389,1,12,357.91,29.83,0.26,13,1,5,10.7
10390,3,4,479.17,119.79,0.29,15,0,4,34.44
10391,13,7,170.42,24.35,0.24,18,0,5,24.54
10392,87,6,709.42,118.24,0.14,14,0,4,13.08
10393,21,4,231.65,57.91,0.26,12,0,4,32.71
10394,10,8,273.12,34.14,0.49,8,0,4,20.79
10395,14,7,292.42,41.77,0.21,12,1,5,42.97
10396,8,6,455.61,75.94,0.13,11,1,3,27.46
10397,17,9,156.66,17.41,0.16,19,1,2,13.34
10398,8,9,965.31,107.26,0.14,16,1,4,31.75
10399,57,7,358.55,51.22,0.27,21,0,4,33.81
10400,19,7,287.3,41.04,0.29,10,1,3,41.56
10401,10,4,248.87,62.22,0.27,10,1,4,21.61
10402,82,7,214.95,30.71,0.13,10,0,5,32.43
10403,12,8,872.77,109.1,0.05,19,1,3,10.37
10404,73,7,834.23,119.18,0.29,13,0,5,28.85
10405,2,5,278.02,55.6,0.11,15,1,1,11.42
10406,37,5,106.88,21.38,0.12,15,0,5,10.19
10407,20,5,595.16,119.03,0.07,14,1,5,27.83
10408,18,9,909.27,101.03,0.11,12,1,5,16.58
10409,2,8,639.06,79.88,0.41,17,1,3,22.51
10410,2,6,624.43,104.07,0.4,11,1,4,18.31
10411,13,2,174.43,87.22,0.47,17,0,4,41.96
10412,89,7,582.51,83.22,0.42,8,0,5,11.43
10413,29,4,110.86,27.72,0.15,20,1,5,19.21
10414,14,5,510.43,102.09,0.37,10,1,4,14.96
10415,29,8,867.26,108.41,0.05,21,1,4,21.41
10416,7,4,344.0,86.0,0.16,21,1,3,33.62
10417,6,8,145.4,18.18,0.29,19,0,5,38.98
10418,14,5,316.76,63.35,0.34,17,0,5,5.25
10419,60,3,346.66,115.55,0.64,16,0,4,12.07
10420,22,4,434.19,108.55,0.52,20,1,4,38.46
10421,11,13,1364.66,104.97,0.43,8,1,5,20.68
10422,91,3,211.93,70.64,0.21,10,1,5,21.72
10423,51,9,289.31,32.15,0.07,15,0,5,17.35
10424,12,8,456.11,57.01,0.36,19,1,5,11.64
10425,108,3,289.62,96.54,0.1,14,0,3,11.18
10426,132,3,306.28,102.09,0.07,21,0,3,20.09
10427,16,9,1027.77,114.2,0.42,11,1,5,29.28
10428,33,7,462.7,66.1,0.29,20,1,4,37.81
10429,16,9,756.57,84.06,0.22,8,1,4,6.18
10430,9,3,91.81,30.6,0.31,9,0,4,5.06
10431,3,6,485.33,80.89,0.15,17,1,4,41.88
10432,10,6,435.62,72.6,0.5,21,1,4,6.35
10433,10,7,387.39,55.34,0.13,11,1,2,33.79
10434,16,3,77.01,25.67,0.16,9,1,5,7.08
10435,7,4,90.86,22.72,0.59,10,1,5,34.67
10436,93,7,431.01,61.57,0.21,15,0,4,6.12
10437,4,6,412.51,68.75,0.2,18,1,5,31.49
10438,30,4,96.26,24.06,0.31,11,0,5,7.05
10439,18,5,216.94,43.39,0.22,13,1,4,41.95
10440,17,5,455.79,91.16,0.05,21,1,5,23.77
10441,14,8,779.33,97.42,0.1,11,1,5,18.02
10442,61,5,454.06,90.81,0.06,11,0,4,29.5
10443,10,4,177.56,44.39,0.19,11,0,5,19.8
10444,1,4,466.46,116.62,0.34,11,1,4,43.41
10445,76,6,296.45,49.41,0.05,8,0,3,12.54
10446,60,6,624.42,104.07,0.33,12,1,3,14.74
10447,10,8,695.25,86.91,0.26,12,1,3,12.86
10448,23,6,350.77,58.46,0.17,13,1,1,26.22
10449,4,7,349.87,49.98,0.65,19,1,5,22.6
10450,3,3,236.55,78.85,0.09,8,1,4,16.84
10451,55,8,313.95,39.24,0.05,14,0,5,13.33
10452,16,5,313.49,62.7,0.17,17,1,5,39.0
10453,33,5,386.24,77.25,0.27,18,0,4,26.87
10454,87,3,278.75,92.92,0.24,12,0,4,36.51
10455,9,8,306.01,38.25,0.54,10,0,4,27.87
10456,1,9,199.1,22.12,0.49,8,1,5,34.52
10457,1,1,34.61,34.61,0.71,12,1,4,8.94
10458,38,6,491.23,81.87,0.23,18,0,5,36.54
10459,78,6,596.27,99.38,0.34,10,0,3,19.06
10460,19,7,265.74,37.96,0.35,12,1,5,18.51
10461,15,4,295.6,73.9,0.48,11,0,4,24.96
10462,24,3,167.74,55.91,0.31,17,0,4,39.89
10463,59,5,89.11,17.82,0.31,13,0,2,38.78
10464,32,11,270.1,24.55,0.59,21,1,3,6.47
10465,8,6,109.87,18.31,0.15,11,1,4,27.91
10466,45,6,395.19,65.86,0.06,8,1,4,12.92
10467,5,3,275.94,91.98,0.13,19,1,5,26.49
10468,6,5,106.99,21.4,0.14,18,1,2,9.54
10469,29,2,88.07,44.04,0.08,8,0,5,12.8
10470,9,4,74.18,18.55,0.37,15,1,5,14.32
10471,37,10,352.17,35.22,0.45,14,0,5,19.55
10472,13,1,79.97,79.97,0.36,13,0,3,6.32
10473,10,6,365.48,60.91,0.05,13,1,5,35.71
10474,205,5,205.1,41.02,0.31,19,0,4,25.75
10475,2,6,263.14,43.86,0.39,8,1,4,44.65
10476,32,6,169.77,28.3,0.5,20,1,4,17.38
10477,2,5,409.78,81.96,0.37,21,1,5,35.37
