CustomerID,Recency,Frequency,Monetary,AvgOrderValue,ItemDiversity,PurchaseHour,RepeatPurchase,Age,Income
10042,6,5,370.36,74.07,0.61,12,1,33,64340
10043,68,4,462.55,115.64,0.38,11,0,47,88847
10044,6,5,335.44,67.09,0.36,10,1,50,69790
10045,28,9,622.29,69.14,0.68,11,0,60,53502
10046,2,5,230.54,46.11,0.38,21,0,55,120973
10047,32,7,557.54,79.65,0.66,15,1,22,110411
10048,14,5,158.56,31.71,0.16,15,1,24,44297
10049,48,5,85.41,17.08,0.4,13,0,58,116075
10050,1,1,83.36,83.36,0.27,18,1,56,83038
10051,20,2,89.8,44.9,0.18,15,1,43,115105
10052,4,3,272.8,90.93,0.77,16,1,53,27492
10053,5,2,113.03,56.52,0.12,18,0,54,79273
10054,52,6,689.36,114.89,0.53,12,0,39,129459
10055,28,7,156.28,22.33,0.16,19,0,40,52636
10056,102,5,395.0,79.0,0.15,12,0,36,75087
10057,36,5,592.71,118.54,0.54,16,0,24,124236
10058,112,5,169.73,33.95,0.33,16,0,53,89112
10059,22,8,354.29,44.29,0.08,10,1,27,83114
10060,23,5,316.06,63.21,0.47,21,1,52,50099
10061,4,7,670.88,95.84,0.16,11,1,41,48025
10062,13,5,210.8,42.16,0.53,16,0,36,37752
10063,10,3,51.52,17.17,0.3,14,1,32,40239
10064,62,8,441.89,55.24,0.36,18,0,26,32218
10065,3,6,559.42,93.24,0.13,14,1,26,26697
10066,20,7,223.72,31.96,0.08,19,1,47,69936
10067,55,7,836.72,119.53,0.38,17,1,23,32879
10068,22,3,154.69,51.56,0.17,16,1,56,87409
10069,2,5,262.5,52.5,0.12,10,1,31,132848
10070,29,1,25.34,25.34,0.26,10,0,63,133797
10071,16,8,641.65,80.21,0.35,14,1,25,109971
10072,38,6,466.64,77.77,0.21,12,1,46,66187
10073,3,4,274.17,68.54,0.34,9,1,23,47828
10074,15,5,344.9,68.98,0.09,18,1,25,54298
10075,1,5,442.68,88.54,0.19,21,1,34,91371
10076,15,3,155.33,51.78,0.19,12,0,51,122336
10077,5,8,245.03,30.63,0.61,14,1,28,79347
10078,8,3,349.25,116.42,0.24,15,1,18,143708
10079,48,4,153.78,38.44,0.61,15,0,50,34570
10080,38,9,418.95,46.55,0.11,18,0,45,146761
10081,20,10,157.57,15.76,0.21,16,1,22,130850
10082,118,5,472.29,94.46,0.44,10,0,33,50497
10083,43,8,239.06,29.88,0.4,14,0,52,38909
10084,3,5,277.81,55.56,0.52,11,1,49,105644
10085,24,6,146.2,24.37,0.46,13,1,24,109983
10086,34,10,678.82,67.88,0.6,21,1,58,26273
10087,41,5,140.79,28.16,0.46,18,1,43,143786
10088,30,5,585.99,117.2,0.25,16,1,45,26485
10089,65,5,319.59,63.92,0.25,20,0,36,112372
10090,49,6,214.86,35.81,0.38,20,0,21,92389
10091,25,9,605.07,67.23,0.57,10,0,29,70368
10092,62,6,114.78,19.13,0.26,15,0,29,67162
10093,16,6,387.4,64.57,0.7,9,1,63,53026
10094,3,9,775.85,86.21,0.2,16,1,66,116442
10095,5,5,476.51,95.3,0.27,12,1,26,62705
10096,180,6,663.41,110.57,0.23,8,0,29,53646
10097,7,13,449.66,34.59,0.39,12,1,45,145264
10098,66,5,449.86,89.97,0.5,21,1,28,142327
10099,32,4,248.66,62.16,0.35,12,0,23,56582
10100,1,6,516.9,86.15,0.46,19,0,39,123911
10101,31,7,396.13,56.59,0.33,18,1,41,95331
10102,63,5,215.97,43.19,0.55,12,0,43,129102
10103,6,4,162.31,40.58,0.24,19,1,30,35168
10104,8,4,110.86,27.72,0.13,16,1,67,89946
10105,10,6,571.97,95.33,0.36,21,1,63,83599
10106,12,2,198.73,99.36,0.14,11,1,51,135751
10107,43,4,252.89,63.22,0.51,8,1,59,149111
10108,3,6,192.25,32.04,0.24,19,0,67,120506
10109,141,5,360.41,72.08,0.05,21,0,29,37365
10110,5,9,451.34,50.15,0.4,8,1,24,57098
10111,63,8,365.5,45.69,0.16,8,0,30,54925
10112,2,9,708.99,78.78,0.45,13,1,47,83741
10113,4,7,162.57,23.22,0.44,18,0,53,64545
10114,11,5,302.39,60.48,0.29,18,1,65,127344
10115,70,7,293.07,41.87,0.24,13,0,44,43249
10116,76,5,394.0,78.8,0.28,18,1,37,126366
10117,1,5,305.13,61.03,0.34,10,1,24,134925
10118,44,7,780.06,111.44,0.36,14,0,50,49087
10119,12,3,319.62,106.54,0.13,8,1,21,98152
10120,17,10,397.01,39.7,0.18,18,1,59,98103
10121,26,8,315.25,39.41,0.18,14,1,44,34984
10122,36,11,397.2,36.11,0.3,14,1,31,66934
10123,1,7,681.39,97.34,0.25,8,1,60,112371
10124,1,8,901.97,112.75,0.51,18,1,21,109560
10125,42,4,325.27,81.32,0.36,21,0,61,54300
10126,104,11,358.74,32.61,0.28,12,0,68,73257
10127,11,5,273.78,54.76,0.27,18,1,27,86433
10128,86,6,242.28,40.38,0.12,11,0,42,54032
10129,27,7,646.9,92.41,0.35,10,1,36,121721
10130,5,8,819.0,102.38,0.45,21,1,54,39486
10131,3,2,235.72,117.86,0.22,13,1,18,138983
10132,30,5,441.12,88.22,0.07,16,1,51,99843
10133,22,6,642.16,107.03,0.22,14,1,29,67021
10134,23,7,362.87,51.84,0.23,9,1,33,84427
10135,30,8,465.15,58.14,0.3,19,0,56,125782
10136,8,6,447.58,74.6,0.29,20,1,21,27452
10137,10,7,465.37,66.48,0.06,8,1,55,146425
10138,25,5,422.0,84.4,0.13,14,0,28,52776
10139,15,10,469.65,46.96,0.29,8,1,63,87121
10140,37,4,311.16,77.79,0.4,15,0,22,59912
10141,8,4,61.56,15.39,0.37,19,1,68,34334
10142,11,6,527.9,87.98,0.08,10,1,56,77807
10143,57,6,241.37,40.23,0.13,8,0,42,99751
10144,19,4,269.55,67.39,0.24,14,1,43,51167
10145,3,13,870.88,66.99,0.2,16,1,68,141589
10146,59,6,462.51,77.08,0.39,20,0,46,113983
10147,17,9,184.65,20.52,0.64,13,1,25,136688
10148,23,4,308.28,77.07,0.13,19,1,65,73625
10149,32,7,451.9,64.56,0.32,15,0,27,99453
10150,14,7,589.77,84.25,0.26,8,1,22,54654
10151,129,6,357.17,59.53,0.16,14,0,57,116822
10152,10,6,109.79,18.3,0.32,11,1,25,79583
10153,35,6,107.35,17.89,0.05,19,1,68,62214
10154,24,9,1009.43,112.16,0.3,8,1,24,110592
10155,23,3,302.24,100.75,0.36,8,0,38,75407
10156,1,2,227.72,113.86,0.29,8,1,34,114090
10157,43,4,409.18,102.3,0.48,11,0,31,83119
10158,7,4,472.87,118.22,0.05,8,0,61,112464
10159,41,10,712.79,71.28,0.48,17,1,47,121850
10160,4,6,260.24,43.37,0.3,18,1,38,148481
10161,18,3,162.08,54.03,0.3,18,0,66,130175
10162,10,6,664.66,110.78,0.28,10,1,20,56999
10163,8,6,417.24,69.54,0.26,8,1,67,117747
10164,14,4,120.36,30.09,0.36,10,1,32,73615
10165,48,5,157.35,31.47,0.07,20,0,24,46684
10166,3,4,459.97,114.99,0.46,14,1,39,102507
10167,33,9,940.29,104.48,0.26,8,1,47,35788
10168,8,8,939.19,117.4,0.37,11,1,40,65307
10169,19,12,736.67,61.39,0.1,20,1,62,128285
10170,30,3,89.82,29.94,0.35,14,0,29,73220
10171,6,7,600.44,85.78,0.27,13,1,18,61516
10172,80,4,219.7,54.92,0.58,17,0,41,107241
10173,32,7,426.08,60.87,0.59,16,1,49,40000
10174,25,7,727.44,103.92,0.15,16,1,26,116450
10175,24,7,639.57,91.37,0.2,14,1,61,132914
10176,41,4,211.82,52.96,0.22,19,0,52,50980
10177,86,2,137.79,68.9,0.27,8,0,55,52134
10178,10,4,435.33,108.83,0.53,21,1,62,106845
10179,2,7,822.72,117.53,0.25,15,1,62,49762
10180,6,6,318.33,53.06,0.12,9,1,49,34309
10181,21,10,245.87,24.59,0.05,14,1,58,62172
10182,38,8,582.03,72.75,0.44,11,0,45,122119
10183,22,8,490.36,61.3,0.4,17,0,31,96370
10184,8,5,462.88,92.58,0.29,18,1,25,123499
10185,8,3,274.69,91.56,0.32,8,1,24,97283
10186,93,7,359.05,51.29,0.24,12,0,36,49715
10187,13,7,818.89,116.98,0.5,12,1,41,86277
10188,35,6,582.5,97.08,0.16,19,1,51,43079
10189,40,8,487.58,60.95,0.24,10,0,54,45757
10190,15,8,352.41,44.05,0.46,20,0,66,48999
10191,23,8,673.17,84.15,0.43,18,1,67,111345
10192,4,5,448.61,89.72,0.29,18,1,66,126084
10193,19,4,106.21,26.55,0.12,11,0,38,27336
10194,2,7,320.68,45.81,0.08,20,1,51,135033
10195,16,6,580.39,96.73,0.41,15,1,21,37660
10196,74,4,112.76,28.19,0.45,18,0,60,129629
10197,18,6,121.08,20.18,0.38,20,1,53,54216
10198,3,5,332.23,66.45,0.61,16,0,25,100845
10199,209,6,225.38,37.56,0.22,12,0,34,81739
10200,229,4,109.06,27.26,0.42,15,0,68,25935
10201,13,8,192.94,24.12,0.37,8,1,37,59483
10202,10,6,382.73,63.79,0.2,14,1,38,147791
10203,20,5,433.29,86.66,0.21,11,0,40,92812
10204,7,4,415.54,103.88,0.35,21,1,39,108936
10205,41,12,1379.41,114.95,0.2,21,1,68,145614
10206,6,10,853.19,85.32,0.37,18,1,33,88116
10207,5,5,131.33,26.27,0.43,10,1,35,130410
10208,14,10,663.55,66.35,0.24,8,1,38,78137
10209,16,10,394.67,39.47,0.64,9,1,20,76504
10210,81,6,91.04,15.17,0.33,20,0,42,147532
10211,24,7,290.87,41.55,0.38,14,0,29,134561
10212,19,9,918.25,102.03,0.39,14,1,26,52076
10213,22,3,146.85,48.95,0.34,14,1,51,55860
10214,81,6,686.14,114.36,0.1,18,0,18,109812
10215,2,2,79.87,39.94,0.28,18,0,54,142218
10216,62,6,509.77,84.96,0.14,15,0,65,100368
10217,11,11,1165.96,106.0,0.05,11,1,26,107314
10218,25,9,357.18,39.69,0.07,19,1,49,52435
10219,29,6,230.34,38.39,0.27,13,0,61,46042
10220,7,5,223.26,44.65,0.59,15,0,66,121414
10221,1,4,354.06,88.52,0.14,12,1,28,138542
10222,15,4,104.65,26.16,0.33,8,0,63,103570
10223,7,9,544.19,60.47,0.08,21,1,65,73994
10224,13,4,170.11,42.53,0.12,10,0,30,43029
10225,42,7,327.63,46.8,0.2,15,0,52,96709
10226,20,3,346.75,115.58,0.13,18,1,69,119663
10227,14,6,412.38,68.73,0.34,9,0,20,103533
10228,115,6,160.77,26.8,0.46,17,0,35,60446
10229,21,7,601.59,85.94,0.18,11,0,61,29989
10230,53,4,68.97,17.24,0.17,19,0,51,36784
10231,10,7,623.83,89.12,0.08,21,1,43,92147
10232,67,5,113.32,22.66,0.34,12,0,40,34393
10233,10,8,572.6,71.58,0.05,10,1,65,117040
10234,10,11,1116.76,101.52,0.4,15,1,35,128197
10235,22,7,221.2,31.6,0.25,20,0,57,126942
10236,18,9,248.79,27.64,0.34,8,0,45,137980
10237,18,6,104.17,17.36,0.31,12,1,62,63873
10238,24,4,196.64,49.16,0.24,9,1,66,128167
10239,120,5,140.32,28.06,0.2,20,0,61,99923
10240,34,6,357.48,59.58,0.11,9,1,46,108570
10241,7,6,650.07,108.35,0.15,10,1,35,29323
10242,14,6,248.65,41.44,0.25,18,1,69,29596
10243,17,10,988.32,98.83,0.52,14,1,42,76377
10244,61,7,317.95,45.42,0.49,14,0,52,63274
10245,24,12,468.73,39.06,0.18,15,1,40,116906
10246,8,6,685.02,114.17,0.42,21,1,44,137251
10247,40,6,631.73,105.29,0.23,19,0,20,143367
10248,69,4,392.62,98.16,0.15,21,0,25,108014
10249,93,5,315.88,63.18,0.19,9,0,62,94829
10250,21,3,169.22,56.41,0.2,10,0,31,33279
10251,10,7,415.05,59.29,0.21,19,1,30,87642
10252,30,5,168.87,33.77,0.15,21,1,31,133850
10253,36,9,599.51,66.61,0.17,15,1,30,40816
10254,6,4,350.28,87.57,0.33,14,1,63,125716
10255,36,7,653.13,93.3,0.33,21,1,30,111860
10256,33,5,484.86,96.97,0.55,10,0,56,32118
10257,8,5,583.95,116.79,0.29,11,1,68,136353
10258,27,7,316.37,45.2,0.36,11,0,39,109449
10259,18,7,814.57,116.37,0.22,8,1,36,44497
10260,10,8,138.69,17.34,0.29,9,1,51,37366
10261,40,7,423.38,60.48,0.4,10,1,40,67527
10262,9,4,155.34,38.84,0.23,11,1,48,78431
10263,20,5,94.05,18.81,0.12,13,0,54,55399
10264,81,5,274.22,54.84,0.33,14,0,24,109464
10265,78,1,68.39,68.39,0.11,10,0,32,63317
10266,52,5,198.58,39.72,0.52,9,0,21,105124
10267,17,1,68.84,68.84,0.43,20,0,20,70945
10268,26,7,460.85,65.84,0.14,20,0,30,36953
10269,34,4,223.92,55.98,0.12,9,1,61,40368
10270,23,5,524.1,104.82,0.18,19,1,66,115838
10271,15,4,421.37,105.34,0.31,10,1,49,44094
10272,7,7,359.8,51.4,0.45,13,1,51,33026
10273,56,7,659.79,94.26,0.05,12,0,46,147510
10274,102,3,301.46,100.49,0.17,15,0,58,77395
10275,2,10,821.42,82.14,0.23,13,1,67,90776
10276,10,5,506.28,101.26,0.08,21,1,24,48829
10277,34,10,275.05,27.51,0.25,19,0,31,137038
10278,17,5,395.89,79.18,0.15,11,0,64,75136
10279,84,5,400.53,80.11,0.43,12,0,31,111328
10280,29,9,755.92,83.99,0.23,8,1,52,56822
10281,23,5,266.3,53.26,0.48,13,0,31,86839
10282,5,6,664.59,110.76,0.3,20,1,45,49759
10283,45,5,199.57,39.91,0.05,10,0,37,147388
10284,15,8,583.16,72.9,0.48,10,1,55,80028
10285,4,4,205.07,51.27,0.2,14,1,40,60986
10286,2,6,656.53,109.42,0.24,11,1,36,128329
10287,22,4,341.22,85.3,0.2,12,0,58,106232
10288,25,4,75.08,18.77,0.19,16,0,40,53508
10289,34,8,550.38,68.8,0.28,19,1,59,38842
10290,46,3,57.1,19.03,0.42,11,0,66,134603
10291,17,5,245.47,49.09,0.16,18,1,23,67725
10292,28,4,277.6,69.4,0.2,13,0,40,32812
10293,15,4,155.95,38.99,0.47,11,0,19,128974
10294,4,10,777.09,77.71,0.18,11,1,58,56941
10295,73,3,331.29,110.43,0.19,8,0,45,94444
10296,28,10,680.46,68.05,0.2,10,1,49,46752
10297,25,9,243.43,27.05,0.09,15,1,63,49153
10298,58,6,462.98,77.16,0.25,14,0,26,127691
10299,25,5,458.64,91.73,0.11,20,1,57,67410
10300,56,7,203.15,29.02,0.11,18,0,32,78193
10301,43,1,72.35,72.35,0.07,12,0,20,26015
10302,35,8,390.95,48.87,0.4,10,1,35,107659
10303,15,3,50.93,16.98,0.26,17,1,55,29731
10304,7,5,460.09,92.02,0.23,8,1,44,70106
10305,27,8,558.23,69.78,0.36,12,1,48,29384
10306,11,6,445.68,74.28,0.14,10,1,18,122455
10307,21,6,606.78,101.13,0.34,15,1,25,63931
10308,16,3,292.91,97.64,0.55,8,1,43,82393
10309,13,9,901.77,100.2,0.23,19,1,30,106951
10310,42,4,413.47,103.37,0.1,13,0,57,62090
10311,31,9,810.45,90.05,0.19,12,1,36,58245
10312,13,8,359.32,44.92,0.43,17,0,64,133355
10313,5,5,495.29,99.06,0.36,10,1,33,70061
10314,98,5,163.18,32.64,0.05,15,0,62,131443
10315,39,5,536.2,107.24,0.56,17,0,69,74196
10316,13,8,521.25,65.16,0.19,18,0,24,93762
10317,103,7,787.17,112.45,0.29,18,0,41,116373
10318,6,8,514.47,64.31,0.34,11,1,22,92290
10319,25,7,309.3,44.19,0.08,18,0,58,38686
10320,13,4,77.66,19.42,0.34,20,1,49,31913
10321,80,6,171.0,28.5,0.44,12,0,47,34864
10322,57,5,554.38,110.88,0.12,16,0,38,117292
10323,9,5,583.32,116.66,0.22,12,1,52,36236
10324,72,6,576.87,96.14,0.42,18,0,38,33428
10325,40,9,910.25,101.14,0.34,20,1,56,143090
10326,73,6,631.72,105.29,0.05,17,0,53,144561
10327,72,6,702.65,117.11,0.3,11,0,69,36386
10328,47,4,256.41,64.1,0.24,19,0,57,130110
10329,19,5,224.11,44.82,0.12,14,0,51,122109
10330,48,7,145.68,20.81,0.26,21,1,21,96120
10331,17,7,209.19,29.88,0.11,9,1,30,28197
10332,69,3,141.58,47.19,0.12,12,0,44,141800
10333,12,7,633.3,90.47,0.14,18,1,65,149868
10334,14,8,299.15,37.39,0.27,11,0,29,92130
10335,17,5,546.89,109.38,0.27,18,1,45,131284
10336,13,8,607.33,75.92,0.45,8,1,61,97710
10337,57,5,264.99,53.0,0.28,18,0,22,80197
10338,40,6,379.33,63.22,0.24,21,0,24,25595
10339,31,4,110.82,27.7,0.38,14,1,69,110081
10340,9,6,563.07,93.85,0.65,14,1,58,67207
10341,7,5,92.28,18.46,0.33,14,0,63,43813
10342,113,4,110.59,27.65,0.28,17,0,32,115449
10343,45,10,1139.78,113.98,0.58,16,0,26,113156
10344,3,5,421.1,84.22,0.29,13,1,49,78653
10345,41,6,256.91,42.82,0.33,17,1,55,146079
10346,70,5,556.54,111.31,0.51,11,0,60,115086
10347,24,4,101.57,25.39,0.35,15,0,52,107704
10348,19,6,184.31,30.72,0.15,20,0,69,92187
10349,4,7,408.04,58.29,0.1,19,1,23,110463
10350,33,7,609.77,87.11,0.22,19,1,28,79569
10351,39,9,811.81,90.2,0.36,21,1,44,41540
10352,122,6,367.62,61.27,0.38,13,0,57,76976
10353,46,3,188.8,62.93,0.3,12,0,32,102901
10354,30,2,170.58,85.29,0.2,16,0,41,41169
10355,1,4,301.59,75.4,0.36,14,1,65,120933
10356,78,1,41.37,41.37,0.17,16,0,64,27564
10357,66,5,244.21,48.84,0.49,14,0,41,86972
10358,11,10,168.05,16.8,0.24,20,1,44,88031
10359,48,4,348.06,87.02,0.55,21,0,50,44723
10360,87,5,286.95,57.39,0.52,15,0,30,100439
10361,30,3,250.9,83.63,0.15,21,0,59,104902
10362,1,11,185.9,16.9,0.22,20,1,65,149612
10363,3,5,223.11,44.62,0.2,12,1,33,145349
10364,6,10,456.41,45.64,0.4,8,1,54,35427
10365,44,4,322.16,80.54,0.39,14,0,19,134930
10366,34,10,561.69,56.17,0.29,9,0,55,113751
10367,44,7,580.83,82.98,0.17,9,1,45,125785
10368,35,4,304.74,76.18,0.23,10,0,68,31591
10369,8,3,85.9,28.63,0.14,16,1,64,121269
10370,17,4,392.58,98.14,0.55,21,1,68,75517
10371,47,8,264.43,33.05,0.19,9,0,25,111007
10372,49,4,175.3,43.82,0.15,20,0,68,91736
10373,20,7,186.35,26.62,0.54,20,1,26,60888
10374,3,6,298.54,49.76,0.07,20,1,37,76321
10375,6,8,892.94,111.62,0.13,8,1,32,27706
10376,15,5,289.11,57.82,0.37,15,1,30,99564
10377,15,6,365.8,60.97,0.05,11,0,25,42489
10378,138,5,203.86,40.77,0.23,11,0,33,54239
10379,60,6,244.35,40.72,0.4,14,0,34,55735
10380,12,2,180.02,90.01,0.21,20,0,44,147952
10381,65,8,568.86,71.11,0.32,17,0,59,110629
10382,17,7,798.96,114.14,0.51,18,1,55,77516
10383,17,4,207.56,51.89,0.08,19,0,22,33668
10384,46,9,206.81,22.98,0.37,17,0,24,34169
10385,2,5,144.31,28.86,0.26,18,1,58,39759
10386,39,7,138.7,19.81,0.15,21,1,35,142674
10387,25,5,316.76,63.35,0.14,17,1,53,100420
10388,7,7,542.86,77.55,0.42,8,1,60,132528
10389,8,7,277.23,39.6,0.15,12,1,47,46424
10390,7,3,325.09,108.36,0.26,20,1,18,128700
10391,7,9,693.27,77.03,0.2,8,1,22,27887
10392,15,8,139.58,17.45,0.24,11,0,25,100824
10393,25,5,172.85,34.57,0.36,19,0,40,50703
10394,5,7,362.1,51.73,0.66,17,1,32,143097
10395,2,5,340.51,68.1,0.18,10,1,55,122566
10396,38,4,263.49,65.87,0.11,9,0,54,33605
10397,23,5,419.08,83.82,0.42,11,0,61,131507
10398,71,4,429.59,107.4,0.49,9,0,27,80813
10399,4,3,216.11,72.04,0.24,17,1,23,90250
10400,4,6,583.18,97.2,0.06,11,1,33,100809
10401,4,11,905.41,82.31,0.51,19,1,65,69968
10402,18,7,263.88,37.7,0.15,21,0,43,110822
10403,82,3,157.38,52.46,0.61,17,0,22,128857
10404,55,8,868.13,108.52,0.32,8,0,65,60526
10405,30,7,166.44,23.78,0.08,10,1,35,64576
10406,10,10,307.82,30.78,0.18,15,1,39,149966
10407,16,6,460.89,76.82,0.08,18,0,49,34093
10408,91,4,419.12,104.78,0.14,10,0,50,121946
10409,3,6,207.75,34.62,0.15,17,1,41,72863
10410,55,5,542.93,108.59,0.48,13,0,44,123075
10411,45,4,105.41,26.35,0.2,12,1,50,66985
10412,69,6,678.12,113.02,0.18,15,1,38,129311
10413,59,7,808.87,115.55,0.11,9,1,53,47164
10414,31,7,417.63,59.66,0.12,14,1,24,117162
10415,4,7,697.73,99.68,0.16,12,1,25,88719
10416,8,7,142.12,20.3,0.19,9,0,52,100247
10417,137,8,906.81,113.35,0.28,21,0,27,42728
10418,32,5,410.41,82.08,0.49,17,1,63,66045
10419,17,3,331.34,110.45,0.09,19,0,63,110194
10420,7,4,464.84,116.21,0.08,21,1,18,108939
10421,3,11,1213.28,110.3,0.08,20,1,62,65448
10422,22,6,136.11,22.68,0.06,9,0,40,147253
10423,5,6,333.44,55.57,0.19,15,1,37,80286
10424,18,3,316.36,105.45,0.32,19,0,60,66047
10425,93,8,644.66,80.58,0.35,20,0,20,141508
10426,26,7,281.18,40.17,0.23,21,0,18,104311
10427,21,9,252.26,28.03,0.28,19,1,53,83228
10428,17,7,637.43,91.06,0.06,19,1,34,137733
10429,23,6,264.8,44.13,0.3,15,1,22,120041
10430,30,9,245.69,27.3,0.36,14,0,54,69788
10431,52,6,567.27,94.54,0.05,20,0,69,91304
10432,17,8,872.86,109.11,0.45,9,1,48,108901
10433,20,6,586.92,97.82,0.05,21,0,43,46336
10434,34,9,706.19,78.47,0.29,21,1,47,65377
10435,28,6,440.06,73.34,0.24,15,1,29,87321
10436,14,5,407.33,81.47,0.45,17,0,28,63103
10437,8,4,293.7,73.42,0.71,12,1,26,144011
10438,66,5,484.2,96.84,0.36,11,0,69,79915
10439,50,6,676.93,112.82,0.43,17,0,32,60891
10440,61,6,380.55,63.42,0.32,10,0,34,26826
10441,52,5,445.17,89.03,0.5,21,0,52,29338
10442,16,11,690.98,62.82,0.3,13,1,20,30907
10443,4,7,479.65,68.52,0.24,10,1,37,147216
10444,110,4,458.86,114.72,0.68,20,0,48,32679
10445,8,7,771.08,110.15,0.51,11,1,43,87646
10446,38,9,476.21,52.91,0.08,17,0,33,92209
10447,6,6,428.43,71.4,0.48,13,1,51,89213
10448,69,3,348.05,116.02,0.23,20,0,38,33121
10449,26,4,249.13,62.28,0.22,10,0,25,127950
10450,9,5,520.43,104.09,0.08,10,1,26,92899
10451,16,8,297.95,37.24,0.26,11,1,47,136520
10452,101,7,164.04,23.43,0.55,11,0,44,110161
10453,45,6,557.5,92.92,0.23,14,0,22,54797
10454,165,3,164.18,54.73,0.26,19,0,53,142963
10455,9,7,472.82,67.55,0.09,10,1,61,125105
10456,17,6,369.44,61.57,0.17,11,1,31,50621
10457,5,4,310.35,77.59,0.18,14,0,41,141674
10458,37,5,452.35,90.47,0.2,12,0,33,137344
10459,18,5,331.5,66.3,0.13,15,1,62,76782
10460,3,7,493.89,70.56,0.51,17,1,47,58932
10461,9,4,464.74,116.18,0.16,16,1,30,31383
10462,45,9,310.98,34.55,0.32,17,0,43,139523
10463,1,5,311.67,62.33,0.39,20,0,22,110795
10464,6,3,176.37,58.79,0.17,18,1,37,59074
10465,20,6,641.11,106.85,0.32,10,1,34,135470
10466,36,2,120.31,60.16,0.31,16,0,60,61669
10467,3,5,521.49,104.3,0.13,13,1,61,53741
10468,3,6,153.67,25.61,0.32,15,0,46,60973
10469,70,3,115.61,38.54,0.52,17,0,52,141256
10470,17,3,84.06,28.02,0.06,10,1,60,50465
10471,45,7,152.82,21.83,0.53,19,0,57,37228
10472,10,5,504.49,100.9,0.25,14,1,18,80630
10473,10,4,472.49,118.12,0.24,14,1,65,128759
10474,32,5,171.52,34.3,0.54,21,0,19,108721
10475,1,7,149.25,21.32,0.11,17,0,34,121366
10476,28,8,415.78,51.97,0.17,19,1,40,95435
10477,5,12,194.92,16.24,0.3,15,1,58,109546
10478,1,7,722.38,103.2,0.08,13,1,49,40268
10479,2,5,409.86,81.97,0.16,9,1,38,124638
10480,26,7,549.72,78.53,0.2,8,0,37,110651
10481,16,6,424.48,70.75,0.3,17,1,55,33395
10482,23,6,543.09,90.52,0.16,19,1,39,140286
10483,11,9,1025.81,113.98,0.09,10,1,27,49248
10484,25,7,620.54,88.65,0.23,9,1,43,76668
10485,48,6,366.98,61.16,0.05,8,0,67,143271
10486,88,5,250.15,50.03,0.29,18,0,26,128932
10487,28,6,97.49,16.25,0.35,14,0,55,37554
10488,3,5,367.9,73.58,0.09,21,1,19,78687
10489,53,2,144.98,72.49,0.52,10,0,21,60272
10490,8,7,757.64,108.23,0.5,19,1,20,129824
10491,14,2,183.43,91.72,0.3,13,1,22,138466
10492,1,9,918.89,102.1,0.14,9,1,45,56196
10493,25,4,92.6,23.15,0.36,9,1,23,67894
10494,159,11,503.36,45.76,0.41,13,0,46,47791
